review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,label,label_method
one of good service in sri lanka,5,2026-07-15 09:56:07,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4122116565704345,Driver Service,low,32,zero-shot-bart-large-mnli,Good Support,keyword_rule
usefull app💫 most recommended,5,2026-07-10 20:32:11,English,Positive,0.9975,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5170669555664062,App Experience,medium,29,zero-shot-bart-large-mnli,App Experience,keyword_rule
very important app,5,2026-07-02 21:42:05,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.389838695526123,Driver Service,low,18,zero-shot-bart-large-mnli,App Experience,keyword_rule
I love this app,5,2026-07-02 20:19:05,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6515266299247742,App Experience,high,15,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
eizy traveling 24 hours service,1,2026-06-29 17:39:49,English,Positive,0.9754,POSITIVE,"helpful customer support, quick refund, good service",0.3430282175540924,Good Support,low,31,zero-shot-bart-large-mnli,Good Support,keyword_rule
fast delivery and quality rides.💯👌,5,2026-06-27 20:56:59,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.361250102519989,Driver Service,low,34,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
brilliant service 🔝,5,2026-06-21 20:34:15,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.2499423921108245,App Experience,low,19,zero-shot-bart-large-mnli,Good Support,keyword_rule
"Great app for taxi and food, huge saving and convenient",5,2026-06-21 16:49:11,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5337592959403992,App Experience,medium,55,zero-shot-bart-large-mnli,App Experience,keyword_rule
excellent service,5,2026-06-20 16:55:09,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4512407779693603,Driver Service,medium,17,zero-shot-bart-large-mnli,Good Support,keyword_rule
A best service. Thank you very much for it.,5,2026-06-19 10:09:13,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3542620837688446,Driver Service,low,43,zero-shot-bart-large-mnli,Good Support,keyword_rule
"App is good, very useful. Only issue is the riders are crying for cash payments. But the main use of these type of apps are hassel free access with new technology. As per the riders you guys have different commission methods for cash and card payments. With evolution of technology you should be more focus on encouraging paperless method. Means you should give some benefit to riders when using card payments. Because payment directly crediting to your account. Hope you will look in to this sooner",4,2026-06-02 12:41:09,English,Positive,0.9897,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.9149242043495178,App Experience,high,499,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
one of the best app,1,2026-05-28 14:18:32,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6410198211669922,App Experience,medium,19,zero-shot-bart-large-mnli,App Experience,keyword_rule
very good and reliable service,5,2026-05-22 21:02:07,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4862290918827057,Driver Service,medium,30,zero-shot-bart-large-mnli,Good Support,keyword_rule
friendly & easy to use and very useful app,4,2026-05-20 10:53:27,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.522996723651886,App Experience,medium,42,zero-shot-bart-large-mnli,App Experience,keyword_rule
thank you for a comfortable travel,5,2026-05-10 14:50:02,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.673474907875061,Driver Service,high,34,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
This app best 💯👍,5,2026-05-04 22:07:48,English,Positive,0.9929,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4606221318244934,App Experience,medium,16,zero-shot-bart-large-mnli,App Experience,keyword_rule
this app is very nice app. this app is very use full,5,2026-05-01 10:18:49,English,Positive,0.9994,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8472558259963989,App Experience,high,52,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Courteous and well mannered .,5,2026-04-29 17:12:30,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7156457901000977,Driver Service,high,29,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"Working as a PickMe driver is a valuable experience. I meet different passengers daily and improve my communication skills. Income depends on trips, so some days are good and some are slow. Traffic and fuel costs are challenges, but flexible working hours are a big advantage.",5,2026-04-26 20:26:35,English,Positive,0.999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4692495167255401,Driver Service,medium,276,zero-shot-bart-large-mnli,Driver Service,keyword_rule
"on time, Safe driving ability, Friendly",5,2026-04-26 17:43:06,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8313314914703369,Driver Service,high,39,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
Very useful app for me and easy use. i love it,5,2026-04-26 12:30:43,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.79017174243927,App Experience,high,46,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Very polite and professional driver.Clean and comfortable car,5,2026-04-25 07:00:43,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9083247184753418,Driver Service,high,61,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
GOOD SERVICES AND REASONABLE CHARGES IN SRILANKA.,5,2026-04-22 23:36:44,English,Positive,0.9997,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.5271244645118713,Fair Pricing,medium,49,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
easy to order foods and ride. and their timing is absolutely good 👍,5,2026-04-22 18:08:09,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6986375451087952,App Experience,high,67,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Good service and excellent customer service 👍 thanks,5,2026-04-21 00:43:43,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3719552457332611,Driver Service,low,52,zero-shot-bart-large-mnli,Good Support,keyword_rule
"hi pickme hanks for the wonderful ride experience. its my birthday 11apr and what a good day to get injured in an accident by your professional drivers, and thanks for picking me up from the road while i was laying like a dead body, thanks god that i was wearing a helmet. i am traveling in sri lanka,and i had a flight to London on 12, and i can't walk so i missed it, but thanks to your excellent service.i have broken leg and 2 phones. i haven't get no help. i need answers? why i pay for 📲&🏥",1,2026-04-12 23:08:41,English,Positive,0.9978,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8855816125869751,Driver Service,high,495,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
Good service 👍 pick me we ❤ this service,5,2026-04-10 12:05:10,English,Positive,0.9987,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.586376428604126,Driver Service,medium,40,zero-shot-bart-large-mnli,Good Support,keyword_rule
i have used pick me sevaral times and it was convenient,5,2026-04-09 10:33:58,English,Positive,0.9479,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7024111747741699,App Experience,high,55,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"Very useful, economicaland easy to find, thatwhy I like tjis service",5,2026-04-08 17:54:03,English,Positive,0.9987,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.430831104516983,App Experience,low,68,zero-shot-bart-large-mnli,Good Support,keyword_rule
Verry usefully app,5,2026-04-08 16:11:32,English,Positive,0.996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5844120383262634,App Experience,medium,18,zero-shot-bart-large-mnli,App Experience,keyword_rule
service is good,5,2026-04-08 10:15:03,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4965719878673553,Driver Service,medium,15,zero-shot-bart-large-mnli,Good Support,keyword_rule
Great 👍 I love this App,5,2026-04-08 02:11:20,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.60533607006073,App Experience,medium,23,zero-shot-bart-large-mnli,App Experience,keyword_rule
all are good but prices are higher than normal,3,2026-04-07 19:04:58,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4549377560615539,Driver Service,medium,46,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
This app is so comfortable and cost effective for me as person💯👍😊❤️,5,2026-04-05 14:14:29,English,Positive,0.9985,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6696284413337708,App Experience,high,67,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
i appreciate this app,4,2026-04-05 12:42:43,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6219242215156555,App Experience,medium,21,zero-shot-bart-large-mnli,App Experience,keyword_rule
wery good service. l ❤️ PickMe,4,2026-04-05 07:11:10,English,Positive,0.9987,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.406590849161148,Driver Service,low,30,zero-shot-bart-large-mnli,Good Support,keyword_rule
good 👍 &fast app ⏩,5,2026-04-04 11:41:21,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5205020308494568,App Experience,medium,18,zero-shot-bart-large-mnli,App Experience,keyword_rule
very good service,5,2026-04-03 23:16:24,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4159761965274811,Driver Service,low,17,zero-shot-bart-large-mnli,Good Support,keyword_rule
Reliable Service,5,2026-03-31 11:36:10,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3457508385181427,Driver Service,low,16,zero-shot-bart-large-mnli,Good Support,keyword_rule
wonderful app.. easy to find a vehicle thanks a lot,5,2026-03-30 14:33:25,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8733713030815125,App Experience,high,51,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
wonderful app. made my life so much easier. I am a platinum customer.,5,2026-03-30 11:54:41,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8139600157737732,App Experience,high,69,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
this is good app,5,2026-03-29 14:49:23,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5678552389144897,App Experience,medium,16,zero-shot-bart-large-mnli,App Experience,keyword_rule
nice ride .good driving..good driver.. salini... nice driver..salini bike rider..,5,2026-03-28 18:52:22,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9725454449653624,Driver Service,high,81,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
The App is Very Excellent,5,2026-03-28 18:32:52,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5729292035102844,App Experience,medium,25,zero-shot-bart-large-mnli,App Experience,keyword_rule
excellent service at a time like this,5,2026-03-28 13:25:27,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4444736838340759,Driver Service,low,37,zero-shot-bart-large-mnli,Good Support,keyword_rule
Care full cheating app helago is better than pickme,1,2026-03-26 03:52:07,English,Positive,0.9719,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.25118488073349,Driver Service,low,51,zero-shot-bart-large-mnli,App Experience,keyword_rule
good app for all visitors,5,2026-03-25 21:57:42,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5561837553977966,App Experience,medium,25,zero-shot-bart-large-mnli,App Experience,keyword_rule
good and hospitality i recommend him for any passengers .respected person,5,2026-03-24 19:08:54,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8448742032051086,Driver Service,high,73,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
I very love this app.,5,2026-03-24 15:54:19,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6572103500366211,App Experience,high,21,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
very convenient and reliable 👏,5,2026-03-24 15:12:02,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3891182839870453,App Experience,low,30,zero-shot-bart-large-mnli,App Experience,keyword_rule
very easy 👌 and very convenient 👌,5,2026-03-21 18:20:28,English,Positive,0.9918,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5705532431602478,App Experience,medium,33,zero-shot-bart-large-mnli,App Experience,keyword_rule
what an app amazing by using this app I travel allover Sri Lanka very easy 😍,5,2026-03-18 20:49:26,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8801214694976807,App Experience,high,76,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
friendly driver,5,2026-03-17 00:25:18,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5548218488693237,Driver Service,medium,15,zero-shot-bart-large-mnli,Driver Service,keyword_rule
Excellent service,5,2026-03-16 10:45:07,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4787129759788513,Driver Service,medium,17,zero-shot-bart-large-mnli,Good Support,keyword_rule
Good app. I found it to consistently underestimate the cost of each trip.,4,2026-03-15 05:24:33,English,Positive,0.9996,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.326440691947937,Fair Pricing,low,73,zero-shot-bart-large-mnli,App Experience,keyword_rule
this is good travel app💎,5,2026-03-12 14:46:09,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4631777703762054,App Experience,medium,24,zero-shot-bart-large-mnli,App Experience,keyword_rule
Very polite driver.,5,2026-03-11 08:06:12,English,Positive,0.9982,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6416491270065308,Driver Service,medium,19,zero-shot-bart-large-mnli,Driver Service,keyword_rule
very useful and good customer service,5,2026-03-10 21:58:18,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4316103160381317,App Experience,low,37,zero-shot-bart-large-mnli,Good Support,keyword_rule
very good service....for srilankans..,5,2026-03-09 07:35:33,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4357497990131378,Driver Service,low,37,zero-shot-bart-large-mnli,Good Support,keyword_rule
Honest rider the ttrawel is best,5,2026-03-08 11:01:20,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6637195944786072,Driver Service,high,32,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"PickMe is pretty solid tbh 🔗 fast rides, precise tracking, good locations, and the fares feel fair for what you get. Only downside? The driver meetup thing… sometimes it bugs out and shows way off, like 300m away, so gotta walk extra. Annoying but overall still worth it. But I'll give a solid five 🌟.",5,2026-03-04 15:00:28,English,Positive,0.9992,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7480490207672119,App Experience,high,301,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
very nice and useful app,5,2026-03-03 17:30:26,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7174624800682068,App Experience,high,24,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
This app is good travelling supported,5,2026-03-02 16:13:34,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4154923856258392,App Experience,low,37,zero-shot-bart-large-mnli,App Experience,keyword_rule
Good response..Good driving...Good behavior ..,5,2026-03-01 20:07:28,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9469640254974364,Driver Service,high,46,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
this is really helpful . i am from srilanka ... srilanka from matara why this app not available in my country.,5,2026-02-28 07:15:48,English,Positive,0.9741,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4095647931098938,App Experience,low,110,zero-shot-bart-large-mnli,App Experience,keyword_rule
Thank you to PickMe for promptly responding to my complaint and coordinating with the supplier. I appreciate the follow-up call and the arrangement made for the refund. It’s good to see that customer concerns are taken seriously and resolved.,4,2026-02-23 11:02:05,English,Positive,0.9997,POSITIVE,"helpful customer support, quick refund, good service",0.970869779586792,Good Support,high,242,zero-shot-bart-large-mnli,Good Support,auto_high_confidence
the best taxi app ever,5,2026-02-22 20:00:22,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5167952179908752,App Experience,medium,22,zero-shot-bart-large-mnli,App Experience,keyword_rule
"""Super convenient and reliable! Makes getting around the city so easy. Highly recommend!""",5,2026-02-20 21:52:06,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6545895338058472,App Experience,high,89,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
customer service and problem solving is topnotch comparing to other organizations...👍 keep it up and thank you!,5,2026-02-19 00:09:12,English,Positive,0.9986,POSITIVE,"helpful customer support, quick refund, good service",0.6050031781196594,Good Support,medium,111,zero-shot-bart-large-mnli,Good Support,keyword_rule
best pick up app ever,5,2026-02-18 15:50:39,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.703680694103241,App Experience,high,21,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Driver Hasitha was a very polite chauffeur!,1,2026-02-15 21:39:05,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8994853496551514,Driver Service,high,43,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
very helpful ☺️,5,2026-02-14 22:44:58,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.460766851902008,Driver Service,medium,15,zero-shot-bart-large-mnli,App Experience,keyword_rule
really very helpful.,5,2026-02-14 20:38:40,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4542087912559509,App Experience,medium,20,zero-shot-bart-large-mnli,App Experience,keyword_rule
"reasonable prices, and on time arrival",5,2026-02-12 12:05:33,English,Positive,0.9964,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.4460994899272918,Fair Pricing,low,38,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
fast safe and clean ride,5,2026-02-11 18:52:01,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5041131973266602,Driver Service,medium,24,zero-shot-bart-large-mnli,Driver Service,keyword_rule
Driver Chathuranga- polite and careful Driver,5,2026-02-09 19:21:41,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.963063657283783,Driver Service,high,45,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
Good services Some are mostly on time,5,2026-02-08 11:24:51,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4766793251037597,Driver Service,medium,37,zero-shot-bart-large-mnli,Fast Delivery,keyword_rule
very fast and affordable,5,2026-02-05 23:22:33,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4236807227134704,App Experience,low,24,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
very very good app fantastic and definitely good app,5,2026-02-03 21:15:49,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7547846436500549,App Experience,high,52,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
"Best App, Good service and easy to use No bugs at all",5,2026-02-02 16:30:29,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8256436586380005,App Experience,high,53,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
a very good app,5,2026-02-02 15:54:40,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6195055842399597,App Experience,medium,15,zero-shot-bart-large-mnli,App Experience,keyword_rule
good app and good service,4,2026-02-01 15:14:23,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4715240895748138,App Experience,medium,25,zero-shot-bart-large-mnli,App Experience,keyword_rule
"PickMe is a versatile and essential app for getting around Sri Lanka and ordering food or deliveries with ease. It combines ride-hailing, tuk-tuks, food delivery, and even logistics in one place, making it a great all-in-one solution for daily needs. Users appreciate the convenience of live driver tracking and flexible payment options",5,2026-01-30 10:01:36,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7141993045806885,App Experience,high,336,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Very useful app,5,2026-01-27 09:11:49,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6521872282028198,App Experience,high,15,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
this is the very important app,5,2026-01-23 17:33:50,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3197624087333679,Driver Service,low,30,zero-shot-bart-large-mnli,App Experience,keyword_rule
driver charged more than mentioned.,1,2026-01-22 14:28:06,English,Positive,0.9935,POSITIVE,"privacy, secure payments, account safety, trust",0.3848138749599457,Trust & Security,low,35,zero-shot-bart-large-mnli,Driver Service,keyword_rule
Best Service 😎👍,5,2026-01-21 00:36:18,English,Positive,0.9996,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3334648311138153,Driver Service,low,15,zero-shot-bart-large-mnli,Good Support,keyword_rule
very easy app.They are doing their best. keep it up the good work always!,4,2026-01-20 21:28:42,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.691350519657135,App Experience,high,73,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
very useful application thanks !,5,2026-01-20 15:42:22,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7544291019439697,App Experience,high,32,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
Driver has Good P.R. and good carering passengers.,4,2026-01-16 14:26:40,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8810547590255737,Driver Service,high,50,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
very good happy good service by Mr salaman,5,2026-01-14 06:39:56,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6682142615318298,Driver Service,high,42,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
"PickMe rates are the best because they are affordable, transparent, and fair for customers. The pricing is clearly shown before booking, so there are no hidden charges. Compared to other services, PickMe offers good value for money with reliable drivers and quick service. This makes it a convenient and budget-friendly choice for daily travel.",5,2026-01-11 08:46:21,English,Positive,0.9992,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4124265015125274,Driver Service,low,344,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
"As far as I understand, I'm posting this as the best app I've ever seen. Keep up the good work Pickme. Much Love!!! ❤️",5,2026-01-08 17:50:03,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5699052810668945,App Experience,medium,118,zero-shot-bart-large-mnli,App Experience,keyword_rule
"very nice , driving very safety.",5,2026-01-06 17:37:36,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8618419170379639,Driver Service,high,32,zero-shot-bart-large-mnli,Driver Service,auto_high_confidence
its very safe and low budjet,5,2026-01-05 00:50:20,English,Positive,0.8392,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.60700923204422,Driver Service,medium,28,zero-shot-bart-large-mnli,Driver Service,keyword_rule
Everything was well till last year. What's with the high prices? Huh?,3,2026-01-03 16:46:42,English,Positive,0.9706,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5400866866111755,Driver Service,medium,69,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
Excellent Actual price is far above the estimated value.,3,2026-01-02 15:33:18,English,Positive,0.9991,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3806729912757873,App Experience,low,56,zero-shot-bart-large-mnli,Fair Pricing,keyword_rule
"Absolutely, this app so useful and very easy to transpotation love you pick me ❤️❤️",5,2026-01-01 13:16:57,English,Positive,0.9995,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8977275490760803,App Experience,high,83,zero-shot-bart-large-mnli,App Experience,auto_high_confidence
