review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,final_category,label_method
i like pick me ❤️,5,2026-06-27 08:22:57,English,Positive,0.999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3595146536827087,Driver Service,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
average satisfaction,3,2026-06-26 16:29:54,English,Positive,0.9191,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4259247481822967,App Experience,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
thank you so much,5,2026-06-23 21:50:57,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.2549259662628174,Driver Service,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
vari good is oik me,5,2026-06-03 18:27:25,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3821341693401336,Driver Service,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Easy riding partner,5,2026-06-02 09:29:39,English,Positive,0.9991,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4351900219917297,Driver Service,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
good morning day,4,2026-05-29 12:20:26,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.365629106760025,Driver Service,low,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
pick me is veryfast⏩,5,2026-05-21 14:29:45,English,Positive,0.9487,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.41707444190979,App Experience,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
this one very good 👍,5,2026-05-06 20:42:45,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4288961291313171,App Experience,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
highly recommended,5,2026-04-28 12:45:29,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4111136794090271,App Experience,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
great experience,5,2026-04-17 11:19:04,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4415981471538543,App Experience,low,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
It's good and fair,5,2026-03-30 08:37:20,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.521040678024292,Driver Service,medium,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Driving is good.,5,2026-03-30 06:46:18,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5987492203712463,Driver Service,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
easy to transport,5,2026-03-19 11:21:58,English,Positive,0.9995,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3283849358558655,App Experience,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
good. easy to travel,5,2026-03-17 16:13:45,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4301585853099823,Driver Service,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
best for my works,5,2026-03-14 11:35:46,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3774079978466034,Driver Service,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very good services,5,2026-03-11 07:48:27,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3269097805023193,App Experience,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
prompt action taken,5,2026-03-01 13:50:10,English,Positive,0.999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3315393328666687,App Experience,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
superb & friendly app,5,2026-02-27 22:39:55,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5548213720321655,App Experience,medium,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
excellent 👌👍 helpful,5,2026-02-24 11:08:22,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5124708414077759,Driver Service,medium,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
it's very interesting,5,2026-02-22 16:31:17,English,Positive,0.9999,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.3803052604198456,Fair Pricing,low,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very good option,5,2026-02-22 15:07:23,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3473758399486542,App Experience,low,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
good to see in Galle,4,2026-02-08 23:28:12,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4085556268692016,Driver Service,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
valuable for me,5,2026-02-08 08:49:13,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3646746575832367,App Experience,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
love you pick me.,5,2026-02-06 14:19:57,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3371146917343139,Driver Service,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
good journey. always,4,2026-01-31 13:30:30,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5349834561347961,Driver Service,medium,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
safety app 100%,5,2026-01-27 10:57:17,English,Positive,0.9866,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4672384262084961,Driver Service,medium,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
excellent drivet,5,2026-01-24 07:05:38,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4861993789672851,Driver Service,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Good experience,5,2026-01-21 18:08:50,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3780747950077057,App Experience,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
better than average,4,2026-01-07 23:42:06,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3888975381851196,Driver Service,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
no annoying ads,5,2025-12-26 07:48:47,English,Positive,0.9922,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.4411936402320862,Fair Pricing,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
wadoda eldeniya charge,5,2025-12-24 23:19:54,English,Positive,0.9871,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5857584476470947,Driver Service,medium,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very quick in respond.,4,2025-12-11 12:53:03,English,Positive,0.9947,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5514619946479797,App Experience,medium,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
great functionality!,5,2025-11-30 18:00:22,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5301511883735657,App Experience,medium,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Good and helpful,5,2025-11-21 15:13:18,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5144622325897217,Driver Service,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
This one is very great,5,2025-11-15 12:35:25,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5088212490081787,App Experience,medium,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very nice and easy,5,2025-11-11 19:25:00,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.443060040473938,Driver Service,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Best for everyone 🫶,5,2025-11-07 21:21:30,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3334162533283233,App Experience,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
good experience,5,2025-11-07 10:01:50,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3976265490055084,App Experience,low,15,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
My Life My Rules 😎😎,5,2025-11-06 09:41:17,English,Positive,0.9791,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4606135785579681,Driver Service,medium,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
good and very supportive,4,2025-10-28 04:48:37,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4957338571548462,Driver Service,medium,24,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
VeRy good servic s,5,2025-10-02 08:56:56,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4481751322746277,Driver Service,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
salyarj laga rani,5,2025-08-27 03:35:44,English,Positive,0.8395,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.484001874923706,Driver Service,medium,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Very Good servis,5,2025-08-24 20:07:28,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4889064133167267,Driver Service,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Thank you so good,5,2025-08-24 08:55:52,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3002287745475769,Driver Service,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
best & ontime service,5,2025-08-23 22:29:41,English,Positive,0.9988,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4965517520904541,Driver Service,medium,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
they are coming fast,5,2025-08-23 15:01:37,English,Positive,0.9992,POSITIVE,"fast delivery, on time delivery, reliable delivery, food arrived hot",0.3131311535835266,Fast Delivery,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Safety and useful app,5,2025-08-15 18:17:36,English,Positive,0.9992,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4957482516765594,App Experience,medium,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
something very good,5,2025-08-15 13:58:04,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3932885229587555,App Experience,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
highly recommend,5,2025-08-07 21:09:22,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4617043435573578,App Experience,medium,16,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
it's always useful,5,2025-08-03 15:10:56,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.508904755115509,App Experience,medium,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
thank you for the info,5,2025-08-01 22:38:04,English,Positive,0.9998,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.3287363052368164,Fair Pricing,low,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
