review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,final_category,label_method
"oops ,poor service",1,2025-10-22 08:52:03,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4578960537910461,Support & Refunds,medium,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very bad useless app😡🤬🤬,1,2025-10-20 22:09:56,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3424569964408874,App Bugs,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
want to android 7,1,2025-10-05 20:25:35,English,Negative,0.8347,NEGATIVE,"privacy, security, data, account safety",0.2786629199981689,Privacy & Security,low,17,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
I can't download it,1,2025-09-30 13:24:09,English,Negative,0.9943,NEGATIVE,"privacy, security, data, account safety",0.3412635624408722,Privacy & Security,low,19,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
bad nod good wery bad,1,2025-09-22 22:49:45,English,Negative,0.9813,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2448489516973495,Driver Behavior & Safety,low,21,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very bad app for riders,1,2025-09-20 13:30:07,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3724496364593506,App Bugs,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
megoda dham mawata,5,2025-09-09 06:48:07,English,Negative,0.9489,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2629076540470123,Driver Behavior & Safety,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
worst service ever had,1,2025-09-05 15:24:00,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4015771746635437,Support & Refunds,low,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
bad application 🤬🤬,1,2025-09-02 13:36:38,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4085702300071716,App Bugs,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very bad service 🤮🤮🤮🤮🤢🤢,1,2025-08-30 14:37:55,English,Negative,0.9996,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4386217594146728,Support & Refunds,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
Its difficulty use code,1,2025-08-19 08:52:58,English,Negative,0.999,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2480274140834808,Driver Behavior & Safety,low,23,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
bad customers care,1,2025-08-10 07:27:02,English,Negative,0.9991,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.2757669389247894,Support & Refunds,low,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
very bad boyssssss,2,2025-08-02 10:22:00,English,Negative,0.9954,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5957276821136475,Driver Behavior & Safety,medium,18,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
