review_text,rating,date,sentiment,final_category,category_confidence,confidence_band
"hi pickme hanks for the wonderful ride experience. its my birthday 11apr and what a good day to get injured in an accident by your professional drivers, and thanks for picking me up from the road while i was laying like a dead body, thanks god that i was wearing a helmet. i am traveling in sri lanka,and i had a flight to London on 12, and i can't walk so i missed it, but thanks to your excellent service.i have broken leg and 2 phones. i haven't get no help. i need answers? why i pay for 📲&🏥",1,2026-04-12 23:08:41,Positive,Driver Service,0.8855816125869751,high
i have used pick me sevaral times and it was convenient,5,2026-04-09 10:33:58,Positive,App Experience,0.7024111747741699,high
This app is so comfortable and cost effective for me as person💯👍😊❤️,5,2026-04-05 14:14:29,Positive,App Experience,0.6696284413337708,high
wonderful app.. easy to find a vehicle thanks a lot,5,2026-03-30 14:33:25,Positive,App Experience,0.8733713030815125,high
wonderful app. made my life so much easier. I am a platinum customer.,5,2026-03-30 11:54:41,Positive,App Experience,0.8139600157737732,high
nice ride .good driving..good driver.. salini... nice driver..salini bike rider..,5,2026-03-28 18:52:22,Positive,Driver Service,0.9725454449653625,high
good and hospitality i recommend him for any passengers .respected person,5,2026-03-24 19:08:54,Positive,Driver Service,0.8448742032051086,high
I very love this app.,5,2026-03-24 15:54:19,Positive,App Experience,0.6572103500366211,high
"Very courteous. Puntual. Suggestion : Under the stars if you can give good, bad etc; it will be easier for the customer to rate the driver.",1,2026-03-19 10:20:38,Positive,Driver Service,0.8334054946899414,high
what an app amazing by using this app I travel allover Sri Lanka very easy 😍,5,2026-03-18 20:49:26,Positive,App Experience,0.8801214694976807,high
Honest rider the ttrawel is best,5,2026-03-08 11:01:20,Positive,Driver Service,0.6637195944786072,high
"PickMe is pretty solid tbh 🔗 fast rides, precise tracking, good locations, and the fares feel fair for what you get. Only downside? The driver meetup thing… sometimes it bugs out and shows way off, like 300m away, so gotta walk extra. Annoying but overall still worth it. But I'll give a solid five 🌟.",5,2026-03-04 15:00:28,Positive,App Experience,0.7480490207672119,high
very nice and useful app,5,2026-03-03 17:30:26,Positive,App Experience,0.7174624800682068,high
Good response..Good driving...Good behavior ..,5,2026-03-01 20:07:28,Positive,Driver Service,0.9469640254974365,high
Thank you to PickMe for promptly responding to my complaint and coordinating with the supplier. I appreciate the follow-up call and the arrangement made for the refund. It’s good to see that customer concerns are taken seriously and resolved.,4,2026-02-23 11:02:05,Positive,Good Support,0.970869779586792,high
"""Super convenient and reliable! Makes getting around the city so easy. Highly recommend!""",5,2026-02-20 21:52:06,Positive,App Experience,0.6545895338058472,high
best pick up app ever,5,2026-02-18 15:50:39,Positive,App Experience,0.703680694103241,high
Driver Hasitha was a very polite chauffeur!,1,2026-02-15 21:39:05,Positive,Driver Service,0.8994853496551514,high
Driver Chathuranga- polite and careful Driver,5,2026-02-09 19:21:41,Positive,Driver Service,0.963063657283783,high
This app couldn't download in my phone some issues to download tha app please check the error and solve the error quickly. This is our recommend. Please consider it...,1,2026-02-04 13:08:21,Positive,Good Support,0.8753363490104675,high
very very good app fantastic and definitely good app,5,2026-02-03 21:15:49,Positive,App Experience,0.7547846436500549,high
"Best App, Good service and easy to use No bugs at all",5,2026-02-02 16:30:29,Positive,App Experience,0.8256436586380005,high
"PickMe is a versatile and essential app for getting around Sri Lanka and ordering food or deliveries with ease. It combines ride-hailing, tuk-tuks, food delivery, and even logistics in one place, making it a great all-in-one solution for daily needs. Users appreciate the convenience of live driver tracking and flexible payment options",5,2026-01-30 10:01:36,Positive,App Experience,0.7141993045806885,high
Very useful app,5,2026-01-27 09:11:49,Positive,App Experience,0.6521872282028198,high
very easy app.They are doing their best. keep it up the good work always!,4,2026-01-20 21:28:42,Positive,App Experience,0.691350519657135,high
very useful application thanks !,5,2026-01-20 15:42:22,Positive,App Experience,0.7544291019439697,high
Driver has Good P.R. and good carering passengers.,4,2026-01-16 14:26:40,Positive,Driver Service,0.8810547590255737,high
very good happy good service by Mr salaman,5,2026-01-14 06:39:56,Positive,Driver Service,0.6682142615318298,high
"very nice , driving very safety.",5,2026-01-06 17:37:36,Positive,Driver Service,0.8618419170379639,high
"Absolutely, this app so useful and very easy to transpotation love you pick me ❤️❤️",5,2026-01-01 13:16:57,Positive,App Experience,0.8977275490760803,high
"I'm from k funny short films YouTube channel, like to travel worldwide,when i was visiting Sri Lanka i could use the app. It's working well with my IOS and Android ❤️",5,2025-12-27 17:10:11,Positive,App Experience,0.8229357600212097,high
this very quick this is better then anchor apps,5,2025-12-19 19:56:32,Positive,App Experience,0.6777746081352234,high
Very good app and easy to use👌,5,2025-12-19 12:03:09,Positive,App Experience,0.6903102397918701,high
"akram was a honest person, he returned my house keys after 1 hrs. I can recommend him, hope all pick me driver will have the same honesty",5,2025-12-18 22:47:34,Positive,Good Support,0.8508363962173462,high
very courteous driver. Clean vehicle.,5,2025-12-12 15:13:23,Positive,Driver Service,0.8785223960876465,high
He is driving the vehicle safely.,5,2025-12-12 12:41:49,Positive,Driver Service,0.8074130415916443,high
very good driver.,5,2025-12-11 18:20:12,Positive,Driver Service,0.6793253421783447,high
professional and peaceful drive,5,2025-12-11 17:10:56,Positive,Driver Service,0.8559882640838623,high
helping to emergency time and good drivers. thanks pickme. plz increase to pickme drivers to Trincomalee. I love pickme.....❤️,5,2025-12-08 00:08:26,Positive,Driver Service,0.7897508144378662,high
"love the app , hands down the best app in Sri Lanka",5,2025-12-03 20:36:30,Positive,App Experience,0.7243267893791199,high
"on time,friendly",5,2025-12-03 18:08:35,Positive,Driver Service,0.6531317830085754,high
"good rider, professional quality",4,2025-11-21 04:53:32,Positive,Driver Service,0.826202929019928,high
I Love This App,5,2025-11-17 06:00:52,Positive,App Experience,0.6624211668968201,high
everyday useful app,5,2025-11-12 07:28:28,Positive,App Experience,0.7646304965019226,high
"on time arrived , friendly,",5,2025-11-12 00:12:49,Positive,Driver Service,0.6971849799156189,high
it's a great app I love it but the only reason is that when ordering from pick me foods there has to be at least 5000 cash limit. In some shops when we order at least one item the price goes over 2500 so please make sure to check with this. Overall the best app for rides and delivery items. love it. But please make sure to check on that pick me foods. At least 5000 cash limit.,5,2025-11-11 11:09:36,Positive,App Experience,0.7661007046699524,high
so maybe use and play to find. really i liked than you dont wonton day to day data basically your could saved foray your galaxy gallery. be enjoy and keeping thus.,5,2025-11-11 08:24:01,Positive,App Experience,0.6686108112335205,high
It's very reasonable price for me and saftu,3,2025-11-10 12:53:42,Positive,Fair Pricing,0.7229723930358887,high
"polite, kind, and drives with care, respects the road rules and pedestrian.",5,2025-11-07 19:35:01,Positive,Driver Service,0.9811208844184875,high
Good driver .Dropped me in 30 mts time,5,2025-10-30 12:38:59,Positive,Driver Service,0.816332221031189,high
"Good driving ,polite and pleasant persanality",5,2025-10-29 10:05:53,Positive,Driver Service,0.9250075817108154,high
very good driver,5,2025-10-24 17:24:09,Positive,Driver Service,0.7318077683448792,high
"Driver was polite,and drove safely. The vehicle was clean and comfortable. Very satisfied with the service.",5,2025-10-18 06:53:37,Positive,Driver Service,0.9270698428153992,high
"Very safe, good driving , came on time.",5,2025-10-16 22:38:10,Positive,Driver Service,0.8750605583190918,high
"Decent,careful driving",5,2025-10-16 11:48:43,Positive,Driver Service,0.9040214419364929,high
Happy with the prompt customer service to complaints.,4,2025-10-14 18:52:09,Positive,Good Support,0.7499696016311646,high
I have used this app so many times...it's good.,5,2025-10-01 15:36:04,Positive,App Experience,0.6768918037414551,high
I all ways going trip with pickme It is very helpful when we are in a hurry.,3,2025-09-28 11:38:44,Positive,App Experience,0.7800498604774475,high
i am happy with pick me app . verry easy to go any where thank you so much pick me 🙏❤️❤️,5,2025-09-27 18:16:35,Positive,App Experience,0.7887886762619019,high
"Pick me up – amazing team, very reasonable prices, and excellent service! Highly recommended",5,2025-09-25 08:51:08,Positive,Fair Pricing,0.7067943215370178,high
this app is very usefull,5,2025-09-22 21:32:59,Positive,App Experience,0.7282117009162903,high
This one app very very useful for every time me,5,2025-09-12 00:42:10,Positive,App Experience,0.7023289203643799,high
"very friendly guy , cheers",5,2025-09-08 14:16:39,Positive,Driver Service,0.6917153596878052,high
he is a good driver and driving also good. very understanding person.,5,2025-09-07 09:46:06,Positive,Driver Service,0.9600260853767395,high
very good intelegant Driver.,5,2025-09-07 01:18:26,Positive,Driver Service,0.7233617305755615,high
Excellent driver. Very knowledgable and friendly. I would like to give him a 100 out of 100.,5,2025-09-04 14:01:23,Positive,Driver Service,0.9425563216209412,high
It is a very easy and convenient app.,5,2025-09-02 20:01:12,Positive,App Experience,0.7936317324638367,high
"Convinient, friendly and punctual...👍",5,2025-08-31 20:22:19,Positive,Driver Service,0.6942804455757141,high
exceptionally good person,5,2025-08-29 22:14:17,Positive,Driver Service,0.6728375554084778,high
"This app is really good. once I use normal travels it get so much money, but when I know this it only take a little. I rate you a t stars good luck. ehenam kollo api giya.",5,2025-08-29 11:22:57,Positive,App Experience,0.6646145582199097,high
"excellent driving, clean car",5,2025-08-26 12:10:23,Positive,Driver Service,0.9611904621124268,high
"all good, the driver was polite and on time",5,2025-08-25 22:23:40,Positive,Driver Service,0.8678768873214722,high
Good app very useful 👌,5,2025-08-24 18:32:30,Positive,App Experience,0.6622887253761292,high
"I’ve had a great experience with PickMe! The app is easy to use, rides are convenient, and drivers are generally friendly and professional. Booking is quick, and I like the transparent pricing. Definitely worth 5 stars!",5,2025-08-21 21:17:08,Positive,App Experience,0.7461483478546143,high
good driver and friendly,2,2025-08-21 14:06:13,Positive,Driver Service,0.7512337565422058,high
Very friendly driver. Was on time.,5,2025-08-05 10:41:33,Positive,Driver Service,0.899702787399292,high
very good driving and polite,1,2025-08-04 19:34:53,Positive,Driver Service,0.8975951671600342,high
Excellence driving and very friendly.🙏,5,2025-08-01 19:02:03,Positive,Driver Service,0.8985613584518433,high
