review_text,rating,date,sentiment,suggested_category,category_confidence,confidence_band,corrected_category
"I feel safe, and the service is fast.💙",5,2026-08-08 13:24:08,Positive,Driver Service,0.4151376485824585,low,
help to easy travel,5,2026-08-07 15:54:34,Positive,Driver Service,0.4153047204017639,low,
This app is good travelling supported,5,2026-03-02 16:13:34,Positive,App Experience,0.41549238562583923,low,
very good service,5,2026-04-03 23:16:24,Positive,Driver Service,0.4159761965274811,low,
pick me is veryfast⏩,5,2026-05-21 14:29:45,Positive,App Experience,0.41707444190979004,low,
"In my last trip my fare was 170/=, but the driver charged me 270/=. This should be considered critically.",1,2025-09-19 14:57:44,Positive,Trust & Security,0.4175039827823639,low,
"I got this very quickly, good & very safe travel",5,2025-08-25 11:04:32,Positive,Driver Service,0.4182705283164978,low,
Best pick app♥️,5,2026-08-11 11:21:55,Positive,App Experience,0.4206981658935547,low,
If you can add Diesel Three wheeler option It will be really helpful,4,2026-01-17 12:07:47,Positive,Driver Service,0.42158061265945435,low,
very fast and affordable,5,2026-02-05 23:22:33,Positive,App Experience,0.42368072271347046,low,
Everything perfect 👌 recommend for everyone 👍🏻,5,2026-04-02 15:56:57,Positive,App Experience,0.4247528314590454,low,
average satisfaction,3,2026-06-26 16:29:54,Positive,App Experience,0.42592474818229675,low,
"thankss,,very helpful & easy to use ..",5,2025-10-09 22:09:17,Positive,App Experience,0.4264383614063263,low,
this one very good 👍,5,2026-05-06 20:42:45,Positive,App Experience,0.42889612913131714,low,
good. easy to travel,5,2026-03-17 16:13:45,Positive,Driver Service,0.4301585853099823,low,
"Very useful, economicaland easy to find, thatwhy I like tjis service",5,2026-04-08 17:54:03,Positive,App Experience,0.43083110451698303,low,
very useful and good customer service,5,2026-03-10 21:58:18,Positive,App Experience,0.4316103160381317,low,
Canot update Pickme,1,2025-10-05 16:22:10,Positive,Driver Service,0.43440014123916626,low,
this is amegerncy service and I like this app,1,2025-12-25 20:55:37,Positive,Driver Service,0.43478304147720337,low,
Very good service provide,5,2025-11-19 11:13:06,Positive,Driver Service,0.43492648005485535,low,
Easy riding partner,5,2026-06-02 09:29:39,Positive,Driver Service,0.43519002199172974,low,
"I would like to report a bug, I'm using the latest version of the app. When I try to schedule a ride I can choose the date but I can't change the time. Please look into this.",1,2026-07-24 06:10:23,Positive,Driver Service,0.43566495180130005,low,
very good service....for srilankans..,5,2026-03-09 07:35:33,Positive,Driver Service,0.4357497990131378,low,
it's good service,5,2026-08-05 17:12:33,Positive,Driver Service,0.4374452829360962,low,
Trusted service,2,2026-07-16 08:19:18,Positive,Driver Service,0.4391864836215973,low,
no annoying ads,5,2025-12-26 07:48:47,Positive,Fair Pricing,0.4411936402320862,low,
great experience,5,2026-04-17 11:19:04,Positive,App Experience,0.44159814715385437,low,
very nice and easy,5,2025-11-11 19:25:00,Positive,Driver Service,0.443060040473938,low,
excellent service at a time like this,5,2026-03-28 13:25:27,Positive,Driver Service,0.4444736838340759,low,
good service great job👍loved so much ❤️,5,2025-08-10 08:48:01,Positive,Driver Service,0.4453244209289551,low,
"reasonable prices, and on time arrival",5,2026-02-12 12:05:33,Positive,Fair Pricing,0.44609948992729187,low,
VeRy good servic s,5,2025-10-02 08:56:56,Positive,Driver Service,0.4481751322746277,low,
the great app ever because of the service and the support teams response immediately to resolve the issue after discussing with both side. Sri Lanka best ride and transportation,5,2026-04-30 17:05:55,Positive,Good Support,0.4489767551422119,low,
excellent service,5,2026-06-20 16:55:09,Positive,Driver Service,0.45124077796936035,medium,
good experience.alwys helpful,2,2026-04-05 10:31:34,Positive,Driver Service,0.45303675532341003,medium,
This app is very useful...& Very reasonable.,5,2025-11-23 17:04:26,Positive,App Experience,0.4532417058944702,medium,
Excellent Service❤️,5,2025-11-09 09:41:22,Positive,Driver Service,0.4541942775249481,medium,
really very helpful.,5,2026-02-14 20:38:40,Positive,App Experience,0.4542087912559509,medium,
all are good but prices are higher than normal,3,2026-04-07 19:04:58,Positive,Driver Service,0.45493775606155396,medium,
sometimes good .sometimes very bad,3,2026-07-07 14:36:34,Positive,Driver Service,0.45551598072052,medium,
"Nice,comfortable and enjoyable",5,2026-06-08 16:11:42,Positive,Driver Service,0.45719367265701294,medium,
"simply the best coz they act according to "" passenger is always correct "" slogan",5,2025-10-22 02:05:58,Positive,Driver Service,0.45780378580093384,medium,
My Life My Rules 😎😎,5,2025-11-06 09:41:17,Positive,Driver Service,0.46061357855796814,medium,
This app best 💯👍,5,2026-05-04 22:07:48,Positive,App Experience,0.4606221318244934,medium,
very helpful ☺️,5,2026-02-14 22:44:58,Positive,Driver Service,0.46076685190200806,medium,
highly recommend,5,2025-08-07 21:09:22,Positive,App Experience,0.4617043435573578,medium,
the best app for tours,5,2025-12-10 08:10:08,Positive,App Experience,0.4618283212184906,medium,
this is good travel app💎,5,2026-03-12 14:46:09,Positive,App Experience,0.46317777037620544,medium,
this app and her divers are not good but inside serilanka for helpful,3,2025-08-17 17:05:25,Positive,Driver Service,0.46523812413215637,medium,
"very very very good,perfect",5,2026-05-03 23:18:41,Positive,Driver Service,0.4667143225669861,medium,
safety app 100%,5,2026-01-27 10:57:17,Positive,Driver Service,0.4672384262084961,medium,
"Working as a PickMe driver is a valuable experience. I meet different passengers daily and improve my communication skills. Income depends on trips, so some days are good and some are slow. Traffic and fuel costs are challenges, but flexible working hours are a big advantage.",5,2026-04-26 20:26:35,Positive,Driver Service,0.46924951672554016,medium,
Very comfortable,5,2026-08-03 19:46:39,Positive,App Experience,0.4695785939693451,medium,
good app and good service,4,2026-02-01 15:14:23,Positive,App Experience,0.47152408957481384,medium,
awesome gorgeous excellent wonderful well Experience Well Tallented Awesome DriverSanjayaawesome gorgeous excellent wonderful well Experience Well Tallented Awesome DriverSanjaya,5,2025-11-13 00:55:44,Positive,Driver Service,0.47578492760658264,medium,
Good services Some are mostly on time,5,2026-02-08 11:24:51,Positive,Driver Service,0.47667932510375977,medium,
Excellent service,5,2026-03-16 10:45:07,Positive,Driver Service,0.4787129759788513,medium,
it comfortable to me,1,2026-07-23 22:05:33,Positive,App Experience,0.479750394821167,medium,
salyarj laga rani,5,2025-08-27 03:35:44,Positive,Driver Service,0.48400187492370605,medium,
best app in the world,5,2025-08-10 23:58:53,Positive,App Experience,0.48515382409095764,medium,
excellent drivet,5,2026-01-24 07:05:38,Positive,Driver Service,0.48619937896728516,medium,
very good and reliable service,5,2026-05-22 21:02:07,Positive,Driver Service,0.4862290918827057,medium,
Great app easy to use as foriegner.,5,2026-07-25 11:32:41,Positive,App Experience,0.48804187774658203,medium,
Very Good servis,5,2025-08-24 20:07:28,Positive,Driver Service,0.4889064133167267,medium,
the sri lankan best app,5,2025-09-16 12:30:07,Positive,App Experience,0.48890912532806396,medium,
not delay good service,5,2026-03-12 11:14:00,Positive,Driver Service,0.49539458751678467,medium,
good and very supportive,4,2025-10-28 04:48:37,Positive,Driver Service,0.4957338571548462,medium,
Safety and useful app,5,2025-08-15 18:17:36,Positive,App Experience,0.49574825167655945,medium,
Best Perform App Low Cost 👍,5,2025-12-23 21:10:00,Positive,Fair Pricing,0.49615195393562317,medium,
best & ontime service,5,2025-08-23 22:29:41,Positive,Driver Service,0.4965517520904541,medium,
service is good,5,2026-04-08 10:15:03,Positive,Driver Service,0.49657198786735535,medium,
please upgrade your map and locations,5,2026-01-28 22:20:29,Positive,Driver Service,0.49880871176719666,medium,
great service 😊❤️✊,5,2025-09-05 17:08:01,Positive,Driver Service,0.49886518716812134,medium,
there is an update right when I need it most and i can't use it without updating. thanks,1,2026-06-30 12:54:43,Positive,Good Support,0.5028057098388672,medium,
super drive and beautiful,5,2026-07-31 15:50:45,Positive,Driver Service,0.5033526420593262,medium,
fast safe and clean ride,5,2026-02-11 18:52:01,Positive,Driver Service,0.5041131973266602,medium,
"Welcome to PickMe! 🚖 Fast, safe, and reliable rides at your fingertips.",5,2025-08-03 23:41:39,Positive,App Experience,0.507665753364563,medium,
This one is very great,5,2025-11-15 12:35:25,Positive,App Experience,0.5088212490081787,medium,
it's always useful,5,2025-08-03 15:10:56,Positive,App Experience,0.508904755115509,medium,
Super Sri Lankan Safe Flash App,5,2026-06-27 16:03:43,Positive,App Experience,0.5123839974403381,medium,
excellent 👌👍 helpful,5,2026-02-24 11:08:22,Positive,Driver Service,0.5124708414077759,medium,
good app in sri lanka godd app,5,2025-11-17 20:28:54,Positive,App Experience,0.5126489996910095,medium,
it is very good app fo transport,5,2026-07-31 20:18:20,Positive,App Experience,0.5140360593795776,medium,
Good and helpful,5,2025-11-21 15:13:18,Positive,Driver Service,0.5144622325897217,medium,
Pick me app is very good and very gentle performer but please educate the drivers (who are using this pick me in Batticaloa) to stop start the ride before pick up the passengers and asked the drivers to take the pick me rate only. it's will help us (passengers).,2,2026-03-17 15:03:47,Positive,App Experience,0.5144779086112976,medium,
the best taxi app ever,5,2026-02-22 20:00:22,Positive,App Experience,0.5167952179908752,medium,
usefull app💫 most recommended,5,2026-07-10 20:32:11,Positive,App Experience,0.5170669555664062,medium,
nice application good,5,2025-09-28 21:06:35,Positive,App Experience,0.5173244476318359,medium,
this app is very nice,5,2025-12-09 12:34:26,Positive,App Experience,0.5177544355392456,medium,
I highly recommend this app. Definitely more than Uber or any other app. At least these people are reliable and trustworthy.,5,2025-09-27 16:58:13,Positive,Driver Service,0.5178767442703247,medium,
good 👍 &fast app ⏩,5,2026-04-04 11:41:21,Positive,App Experience,0.5205020308494568,medium,
It's good and fair,5,2026-03-30 08:37:20,Positive,Driver Service,0.521040678024292,medium,
friendly & easy to use and very useful app,4,2026-05-20 10:53:27,Positive,App Experience,0.522996723651886,medium,
GOOD SERVICES AND REASONABLE CHARGES IN SRILANKA.,5,2026-04-22 23:36:44,Positive,Fair Pricing,0.5271244645118713,medium,
hey pickme can u add the ride vehicle colour cuz its easy to find the right vehicel,4,2025-12-15 17:29:05,Positive,App Experience,0.5287999510765076,medium,
Very friendly and honest.,5,2025-09-02 17:55:19,Positive,Driver Service,0.5291247367858887,medium,
pickme is good app .🥰,5,2025-08-11 19:57:29,Positive,App Experience,0.5292438268661499,medium,
great functionality!,5,2025-11-30 18:00:22,Positive,App Experience,0.5301511883735657,medium,
"Great app for taxi and food, huge saving and convenient",5,2026-06-21 16:49:11,Positive,App Experience,0.5337592959403992,medium,
good journey. always,4,2026-01-31 13:30:30,Positive,Driver Service,0.5349834561347961,medium,
"""Highly trusted, secure, and affordable. Congratulations!""",5,2026-05-19 08:06:28,Positive,Fair Pricing,0.5362361669540405,medium,
Best app for travelling in Sri Lanka,5,2025-11-07 14:42:07,Positive,App Experience,0.5395434498786926,medium,
Everything was well till last year. What's with the high prices? Huh?,3,2026-01-03 16:46:42,Positive,Driver Service,0.5400866866111755,medium,
Good transport service..,5,2025-11-14 16:11:20,Positive,Driver Service,0.5403282642364502,medium,
"Good,not bad but therenne are some lag spikes but no problem",4,2026-08-11 14:46:47,Positive,Driver Service,0.5434271097183228,medium,
well transportation,5,2026-08-13 11:51:06,Positive,Driver Service,0.5442371964454651,medium,
it's too helpful and awesome..... safe traveling. good conversation.. nice location. nice price level 👍🏻🤗,5,2026-05-15 20:39:22,Positive,Driver Service,0.5467047095298767,medium,
reasonable price,5,2025-09-19 20:15:12,Positive,Fair Pricing,0.5478958487510681,medium,
Very Helpful App,5,2025-08-28 00:42:30,Positive,App Experience,0.551291286945343,medium,
very quick in respond.,4,2025-12-11 12:53:03,Positive,App Experience,0.5514619946479797,medium,
very helpful app thanks,5,2025-12-26 10:34:25,Positive,App Experience,0.5538848638534546,medium,
superb & friendly app,5,2026-02-27 22:39:55,Positive,App Experience,0.5548213720321655,medium,
friendly driver,5,2026-03-17 00:25:18,Positive,Driver Service,0.5548218488693237,medium,
the e bill ricipt is very useful thanks for adding a feature like that,5,2026-07-02 09:49:39,Positive,Good Support,0.555801510810852,medium,
good app for all visitors,5,2026-03-25 21:57:42,Positive,App Experience,0.5561837553977966,medium,
it's the easy way to go to anywhere,5,2026-04-15 11:54:41,Positive,App Experience,0.5588363409042358,medium,
They sold me a ticket to a cancelled event and made little to no effort on refunding. Id never buy event tickets off this awful platform again. and id recommend y'all do the same.,1,2026-03-28 11:31:46,Positive,Good Support,0.5595386028289795,medium,
this app very helpful my travel's,5,2025-10-29 17:59:48,Positive,App Experience,0.5626556277275085,medium,
food Safe travels,5,2026-06-28 13:21:28,Positive,Driver Service,0.5661792755126953,medium,
this is good app,5,2026-03-29 14:49:23,Positive,App Experience,0.5678552389144897,medium,
"Actually pickme is a very important service in srilanka. and also it's very safety. on the other hand we can trust their service. I have gone many trips by pickme service. That experiences are not bad. and the drives are very safety ( I have met.) However I can to say, this is good service ❤️😎",5,2025-12-06 17:39:07,Positive,Driver Service,0.5680226683616638,medium,
"As far as I understand, I'm posting this as the best app I've ever seen. Keep up the good work Pickme. Much Love!!! ❤️",5,2026-01-08 17:50:03,Positive,App Experience,0.5699052810668945,medium,
very valuable and affordable,5,2025-11-18 16:17:13,Positive,Fair Pricing,0.5701168179512024,medium,
very easy 👌 and very convenient 👌,5,2026-03-21 18:20:28,Positive,App Experience,0.5705532431602478,medium,
"highly recommend 👌 very fast , and very like",5,2026-02-18 07:22:03,Positive,App Experience,0.5722739696502686,medium,
The App is Very Excellent,5,2026-03-28 18:32:52,Positive,App Experience,0.5729292035102844,medium,
so helpful to our busy life,4,2025-10-19 10:24:58,Positive,App Experience,0.5740693807601929,medium,
He's an exceptional person. left my cell phone in the car & he brought it back to me which I was so grateful for. gave him Rs500 for his kindness. but he refused to take it. so impressed with his qualities ❤️,5,2026-03-31 09:33:36,Positive,Good Support,0.5760485529899597,medium,
pickMe is Good App 😍,5,2025-11-04 10:47:19,Positive,App Experience,0.5762600898742676,medium,
excellent service keep it up pickme,5,2025-10-15 20:43:41,Positive,Driver Service,0.5798060297966003,medium,
Verry usefully app,5,2026-04-08 16:11:32,Positive,App Experience,0.5844120383262634,medium,
wadoda eldeniya charge,5,2025-12-24 23:19:54,Positive,Driver Service,0.5857584476470947,medium,
Good service 👍 pick me we ❤ this service,5,2026-04-10 12:05:10,Positive,Driver Service,0.586376428604126,medium,
Good app. Please add dark mode option,5,2025-11-05 12:42:12,Positive,App Experience,0.5889590382575989,medium,
on time and safe travel ensured with tracking facility,5,2026-03-28 18:03:59,Positive,Driver Service,0.5908592939376831,medium,
Very helpful and Timely. I use every day,5,2025-11-09 13:03:31,Positive,App Experience,0.5954186916351318,medium,
Driving is good.,5,2026-03-30 06:46:18,Positive,Driver Service,0.5987492203712463,medium,
this is a super app,5,2025-12-15 08:22:56,Positive,App Experience,0.6010441780090332,medium,
This app is so good 👍😊,5,2025-12-16 17:20:50,Positive,App Experience,0.601564347743988,medium,
"Don't like thing is each and very time when use the app they says to update so last directing to playstore drove me to rate 3 stars, other things are really good service is highly recommend",3,2025-09-01 06:54:37,Positive,App Experience,0.6031163334846497,medium,
customer service and problem solving is topnotch comparing to other organizations...👍 keep it up and thank you!,5,2026-02-19 00:09:12,Positive,Good Support,0.6050031781196594,medium,
Great 👍 I love this App,5,2026-04-08 02:11:20,Positive,App Experience,0.60533607006073,medium,
its very safe and low budjet,5,2026-01-05 00:50:20,Positive,Driver Service,0.60700923204422,medium,
wonderfully app,5,2025-08-15 05:40:22,Positive,App Experience,0.6076632142066956,medium,
a very good app,5,2026-02-02 15:54:40,Positive,App Experience,0.6195055842399597,medium,
It is so safe 🤍,5,2026-08-13 20:39:00,Positive,Driver Service,0.6205653548240662,medium,
i appreciate this app,4,2026-04-05 12:42:43,Positive,App Experience,0.6219242215156555,medium,
it's very safety,5,2025-10-23 18:06:21,Positive,Driver Service,0.6278470754623413,medium,
this app very helpful,4,2026-08-12 09:44:07,Positive,App Experience,0.6287182569503784,medium,
very good friendly service app good service,5,2026-01-30 08:27:54,Positive,App Experience,0.63059002161026,medium,
actually it is a good app than apps and the vehicles are more cheaper than the other vehicles,5,2025-12-26 15:46:36,Positive,Fair Pricing,0.6317057013511658,medium,
I am highly recommended. Very good customer service.,5,2025-09-04 17:04:41,Positive,Driver Service,0.6335287690162659,medium,
polite and professio,5,2025-08-01 17:47:47,Positive,Driver Service,0.6405454277992249,medium,
one of the best app,1,2026-05-28 14:18:32,Positive,App Experience,0.6410198211669922,medium,
Very polite driver.,5,2026-03-11 08:06:12,Positive,Driver Service,0.6416491270065308,medium,
Nice app gives fair price for the passenger ❤️,5,2026-06-15 14:23:42,Positive,Fair Pricing,0.6417002081871033,medium,
help. full driver.,5,2025-10-01 14:54:26,Positive,Driver Service,0.643153190612793,medium,
"I had great experience with pick me.booking is fast,customer service is also good.vehicle drivers are so friendly.fast & superb.great app",5,2025-10-13 16:07:23,Positive,Driver Service,0.6442456841468811,medium,
MY FIRST TIME 5 STAR APP POCK ME REALLY GOOD APP❤,5,2025-08-29 22:03:50,Positive,App Experience,0.6449150443077087,medium,
"timely arrival, knowledge of the area",5,2025-09-09 16:08:47,Positive,Driver Service,0.6472805142402649,medium,
