review_text,rating,date,sentiment,suggested_category,category_confidence,confidence_band,review_length,corrected_category
"No support, riders are constantly begging for cash. Pick me doesnt work in the rain either. Trash. Everything made in Sri Lanka is either a scam or a rip off or simply doesn't work. Absolute garbage.",1,2025-11-17 20:08:53,Negative,Support & Refunds,0.3557252883911133,low,199,
Good luck trying to cancel. The app itself works fine to order rides. But I discovered that it was charging some monthly fees with auto renewal. There was no option to cancel it even if it is supposed to be possible online. I had to write to support who never answered me but it seems that they cancelled my subscription. Same thing happened when I tried to delete my account. I did the online steps and ended with an error message. I don't recommend that app.,2,2026-01-03 08:26:05,Negative,Support & Refunds,0.3598015308380127,low,460,
"Horrible Experience. I have been using since it launch in late 2015. I find PickMe is going bad to worse day by day. I use PickMe Flash for business purposes and personal services. Each and every time I book PickMe Flash it automatically books / sends multiple vehicles (similar Vehicle if I book bike, then multiple bikes, if I request for Tuk Tuk, then multiple tuk tuks) and sends to requested location. This has been happening for last six months. Customer care service? Horrible service.",2,2026-05-27 13:59:11,Negative,Support & Refunds,0.3612720966339111,low,492,
this is ok but this app needs extra data more than our monthly data package 😐,3,2025-08-02 22:27:23,Negative,Privacy & Security,0.3615705072879791,low,77,
"hi, please could you tell me why the app say's (user blocked permanent) can you unblock me from the app.",1,2025-09-06 16:53:08,Negative,Privacy & Security,0.3621059060096741,low,104,
please wait loading...... long days reset and uninstall and reinstalled no working,1,2025-11-01 17:33:33,Negative,Support & Refunds,0.3649452328681946,low,82,
"We ordered food at 8:00pm, ready by 8:30pm, but these bloody idiots kept my family hungry for almost 2 hours with no help line and no response from these filthy dogs. In the end we had to go to the restaurant ourselves. PickMe is the worst Sri Lankan made app, simply good for nothing.",1,2025-08-31 23:44:47,Negative,Delivery Issues,0.3658048510551452,low,285,
why i cant download pickme in huwawei phone we need it,1,2025-09-15 11:28:28,Negative,App Bugs,0.368859201669693,low,54,
when trip ends the charges are very higher than it showed when booking,1,2026-02-27 16:04:21,Negative,Pricing & Bidding,0.3700755834579468,low,70,
trip close time and payment slow,5,2026-05-25 22:58:29,Negative,Driver Behavior & Safety,0.3706652522087097,low,32,
I've been using the pickme app for many years now and since the app has been updated the pickme search bar is horrible both on food and market. I have tried your help and support but it hasn't been useful. because of your search bar doesn't support much i have really taken a disliking towards the app & now frequently I am using the uber app which is very convenient to search for whatever item I require & provides many options and dealers. very disappointed with pick me search bar.,2,2025-11-08 02:16:06,Negative,Support & Refunds,0.3717897534370422,low,485,
there drivers are didn't pay correctly.when the charge is 192 rupees and when we gave 200 The rest of the money will not be given by them.,1,2025-09-29 18:43:47,Negative,Driver Behavior & Safety,0.3740149438381195,low,138,
Uber better to is good app pick me very very bad guys 😠😠😠😠😠😠,1,2025-09-22 02:16:47,Negative,Driver Behavior & Safety,0.3747908473014831,low,60,
"again Horrible Experiences as I always find myself late to certain places, because app has issues finding drivers and prices for rides are crazy",1,2026-01-23 09:01:20,Negative,App Bugs,0.3749409914016723,low,144,
Complaining about pick me. No customer relation experiene. Old vehicle.,1,2025-08-24 09:01:04,Negative,Driver Behavior & Safety,0.3785628974437713,low,71,
this app is veri help fool to me worak,5,2025-11-14 21:28:09,Negative,Privacy & Security,0.3786525130271911,low,38,
Your app is not up to date. location is not shown properly to the drivers & riders,3,2026-05-07 21:24:22,Negative,App Bugs,0.3854657411575317,low,82,
"Compared to Uber, the route selections after we chose where we wanna go, always got long routes which includes higher traffic and price. it was so embarrassed me causing so much time consumed to the get on time in the location. you better prepare this inefficient ways in the app.",1,2026-06-26 17:28:34,Negative,Driver Behavior & Safety,0.3881849944591522,low,280,
"Even though it's a rainy day today, riders are canceling bookings. I don't want to give a good review for such bad service. Disapointed. I will be uninstall this app",1,2025-10-21 18:05:05,Negative,Support & Refunds,0.3938043713569641,low,165,
The new surcharge is totally unfair,1,2026-07-07 07:31:16,Negative,Pricing & Bidding,0.3948918879032135,low,35,
"Now, most of the drivers reject to accept card payments, saying they don't get money on time. Therefore, need to use cash which is annoying.",2,2025-08-02 22:29:11,Negative,Driver Behavior & Safety,0.3958359360694885,low,140,
This is an app from a shady company that steals people's money. No one should download this.,1,2026-03-27 08:48:46,Negative,Privacy & Security,0.3967737853527069,low,92,
"The previous Pick Me app was good. But, after giving a new update for the Pick Me app, it makes so many problems. Rude app. please update your systems properly as Uber.",1,2025-12-17 14:03:09,Negative,Driver Behavior & Safety,0.3974657356739044,low,168,
I downloaded this app but somehow this doesn't work well via still loading for a an hour. guys lemme know is this app had any issue..,1,2026-07-28 20:36:36,Negative,App Bugs,0.3989361524581909,low,133,
"For activation, they send codes to Whatsapp which I refuse to use.",1,2026-05-01 17:13:24,Negative,Privacy & Security,0.3991963267326355,low,66,
"Drivers pick rides when they on another, we have to wait until they finish that trip and come to pick up. Please update the app such that the drivers wouldn't be able to pick rides while they on a trip",5,2026-08-09 15:52:47,Negative,Privacy & Security,0.3995697200298309,low,201,
the best riding app but too much ads that's frustrating 😕,5,2026-08-02 13:43:23,Negative,Pricing & Bidding,0.4005816280841827,low,57,
ammage redde app ekak meka ubala thanikara minissu amaruwe dana wada karanne,1,2026-02-12 15:33:50,Negative,Driver Behavior & Safety,0.4009642004966736,low,76,
Very bad app... always taff change,1,2026-04-22 23:17:57,Negative,App Bugs,0.403360903263092,low,34,
very slow in app now before good,2,2025-10-01 16:23:34,Negative,Driver Behavior & Safety,0.4033728539943695,low,32,
Ordered a cake from sponge kollupitiya. waited more than 1 hour. no drivers to pick the cake. no option for me or for the shop to cancel the order. I went out and bought a cake. celebrated. Still no one is picking the order and I cant cancel the order. I dont need a cake now. this is like a punishment for using pick me app,1,2026-03-13 13:07:27,Negative,Delivery Issues,0.404041439294815,low,324,
Ela bn patta wasi yak karana appa ekak 🥲😍,5,2025-12-02 14:21:45,Negative,Driver Behavior & Safety,0.4048745036125183,low,41,
ANYONE CAN SIGN UP WITH THIS APP. THEY DO NOT TRAIN THEIR DRIVERS. HALF THE TIME THEY DON'T KNOW WHAT THEY'RE DOING OR WHERE THEY'RE GOING. THE DRIVERS ASK ME WHERE TO GO AND IF MY LOCATION IS CORRECT. DON'T ASK ME TO DO YOUR JOB. PICK ME SHOULD BE PAYING ME.,1,2025-09-18 12:42:45,Negative,Driver Behavior & Safety,0.4057449400424957,low,259,
better to get a Uber at this point,1,2025-08-27 15:29:52,Negative,Driver Behavior & Safety,0.4062774181365967,low,34,
"very disappointed app. once I am above to achieve platinum loyalty customer from gold they did such a rubbish and unexpected procedure that they suddenly dropped into silver customer. when I complained, they said that i registered recently. Literally, i have been used this app for more than 1 year.these guys are cheating",1,2026-06-29 13:39:34,Negative,Support & Refunds,0.4077287316322326,low,322,
useless application..just only small rain no vehicle to find 🤦,1,2025-10-19 19:29:04,Negative,Support & Refunds,0.4094739854335785,low,62,
Too many promotional notifications,2,2026-07-24 15:09:38,Negative,Pricing & Bidding,0.4113659262657165,low,34,
"The tuks are constantly roaming around, and they are not accepting the hire when we try to book. Totally disappointed.",1,2026-01-19 07:59:53,Negative,Driver Behavior & Safety,0.412907063961029,low,118,
milk pkt damaged. this is the third time. nobody is taking notice when I complain. ⁶,1,2025-08-01 14:44:03,Negative,Driver Behavior & Safety,0.4134755134582519,low,84,
Night time very d difficult to book an hire. purposely done by company in order to again more money through Bid,1,2025-11-25 23:42:54,Negative,Pricing & Bidding,0.4138438105583191,low,111,
this app doesn't work on my phone and honestly i don't know what's the issue. I've updated software patch and I'm using Android 15 version with Redmi A5 mobile. couple months ago i've been using pick me app with no problem or anything but lately nowadays when I trying to log on my account app saying please wait interface only. please fix this issue dear company. thanks.,2,2026-07-24 16:51:22,Negative,Privacy & Security,0.4157482087612152,low,372,
app didnt even open goddamn,1,2026-06-06 08:11:47,Negative,Driver Behavior & Safety,0.4183404147624969,low,27,
I am a flash rider. my app is temporary block I have been to your office 10 days since then they have not reactivated please reactivate ASAP,5,2026-01-03 10:43:00,Negative,Driver Behavior & Safety,0.4203219711780548,low,140,
we downloaded the app but the WhatsApp code never comes even if we tried different numbers several times!,3,2026-02-13 08:02:20,Negative,Support & Refunds,0.4217044115066528,low,105,
"Previously the service was good, the recent change to bids for rides is not good and I would not recommend at all. I booked a cab in advance by 1.5 hrs to be told 40 mins before there were no cabs close by so I needed to pay Rs 600 more. Why when I booked it 90 mins early.....then after canceling 30 seconds later another call asking how many passengers and how much luggage......not impressed",2,2025-09-03 21:58:27,Negative,Support & Refunds,0.4248023331165313,low,394,
"how many fees are you going to get ? handling fee,surge fee,handling fee, small package fee, late night fee taxes for famous outlets ... seriously? So is this your objective when starting this business? I remember that you are going to do srilankanized one lol 😆",1,2026-06-25 18:57:43,Negative,Pricing & Bidding,0.4263646900653839,low,262,
4n eke udin ena notification masg app eka athule thiyana notification wala pennanne na.,1,2026-06-06 13:16:03,Negative,Privacy & Security,0.4314948916435241,low,87,
"driver didn't declare ride as complete, so I was charged for 1.5hrs of driving! then I couldn't even complain via the app because it stopped loading, and gave error messages, still 24hours later. I stopped using it now. How can it be possible to show the trip price, then the driver doesn't 'end ' the trip, so I pay 5x too much???",1,2025-12-09 04:46:12,Negative,App Bugs,0.4319583475589752,low,331,
app icon is not appearing on my desktop,5,2025-08-19 16:29:20,Negative,App Bugs,0.4347805976867676,low,39,
Hire ekak dammama ganna bari kaalakanniwa thiyagenne harakda picme eke inne ?,1,2025-08-01 08:39:51,Negative,Driver Behavior & Safety,0.4383341073989868,low,77,
trip was abondend at Midway poor service,1,2026-07-05 06:34:01,Negative,Support & Refunds,0.4397759139537811,low,40,
i was waiting nearly a hour for a any vehicle i still couldnt get in touch with a vehicle worst,1,2025-09-08 08:36:20,Negative,Driver Behavior & Safety,0.4401002824306488,low,95,
Ponna driverla inna ponna app ekak.,1,2025-12-14 06:45:22,Negative,Driver Behavior & Safety,0.4427444040775299,low,35,
won't let me delete my account after leaving the country. at the very last step it just doesn't work. help/support doesn't exist for the app. also had issue with driver fraud and there was no way to contact the company. they list a number but no one answers. theres no email to contact. it's kind of your only viable option in most of the country outside of Colombo. But expect the drivers to call you and demand cash payment. pick me offers none of the limited security features Uber offers.,1,2026-01-08 01:05:42,Negative,Privacy & Security,0.4435674250125885,low,492,
Cant download the app to Huawei 7c ... due to google restrictions ages ago..bt still the app is nt downloading.......,1,2025-11-05 12:51:39,Negative,App Bugs,0.4452868700027466,low,117,
upgrade but 0 performance sometimes stuckingggg,1,2026-01-10 18:18:08,Negative,App Bugs,0.4493408501148224,low,47,
fake app driver fraud order not rcvd and completed by driver after 2 days I'm editing this review that still not received my refund pickme agent said you will get your refund within 24 hours,1,2025-10-17 17:35:53,Negative,Driver Behavior & Safety,0.4505959749221802,medium,190,
no option to disable marketing notifications,1,2026-05-12 10:31:58,Negative,Privacy & Security,0.4520064294338226,medium,44,
now we rather use meter taxi. poor service,1,2026-05-26 17:07:26,Negative,Driver Behavior & Safety,0.4599194526672363,medium,42,
refuse to load up to 700kg,1,2025-08-11 11:13:54,Negative,Driver Behavior & Safety,0.4599340260028839,medium,26,
not even getting a ride faster there was don't even they accept our ride if it gives low very bad,1,2026-01-10 08:24:38,Negative,Driver Behavior & Safety,0.4609403312206268,medium,97,
trash app.when I went some where it showed 4.7km and 10m but the drivers know a trick that when they go slower even though there is no traffic so the app shows 20m and it charges more + I get late. I would highly appreciate it if you could fix this. (some drivers also trick us by changing the gear so we think we are going normal speed even though we are going like 10kmph),1,2026-06-11 14:26:39,Negative,Driver Behavior & Safety,0.4611359536647796,medium,374,
"The PickMe app is generally good and useful for daily travel. Booking rides is easy and convenient. However, there is a major issue with location accuracy. Even when I enter the correct location with a proper landmark (the same place shown correctly on Google Maps), the app does not seem to show my exact location to the rider. Because of this, drivers often call 4–5 times asking where I am. This creates unnecessary confusion and delays. I kindly request the PickMe team to improve the location",4,2026-04-11 15:09:14,Negative,Privacy & Security,0.467705100774765,medium,497,
I ordered a yellow rice from kotahena keells today..not enough even for a single person and the rice is too salty. very bad..,1,2026-06-11 12:40:37,Negative,Delivery Issues,0.4683894217014313,medium,125,
this app microstutters alot when loading restaurants to loading menus.,1,2026-06-12 10:25:24,Negative,App Bugs,0.4706694185733795,medium,70,
Amma oka pick me bang meke,1,2025-09-13 11:40:13,Negative,Driver Behavior & Safety,0.4781527519226074,medium,26,
bidding system is unfair . less and less drivers aswell,1,2025-10-23 15:47:42,Negative,Pricing & Bidding,0.4790175557136535,medium,55,
very bad service in srilanka because my hire is cancelled so I can't get any vehicle to go my trip,1,2026-01-02 10:03:42,Negative,Driver Behavior & Safety,0.4791710078716278,medium,98,
Useless spam notifications. Late night fee despite being a premium member. Exorbitant price hikes during rush hour. App lags in older phone models which is a problem for almost all tuk drivers and gives the longest possible route in certain journeys. my daily commute to work and back is ALWAYS a longer route despite multiple other shorter routes being available. Services provided are good and seems like top brass has a good strategy but technical and user marketing sense is trash.,1,2025-10-03 23:29:53,Negative,App Bugs,0.4805050194263458,medium,485,
dude can't even schedule rides. Unable to set time in android 🤦‍♀️ seriously annoying,1,2026-08-02 22:32:26,Negative,Driver Behavior & Safety,0.4842599332332611,medium,85,
"PickMe Srilanka is the most useless, fake app that exists. If you want to be overcharged, scammed, and get actual bills that are twice the estimated bills given, go for it. Good luck with meeting a lot of stupid scammers for drivers and good luck with the PickMe app that doesn't have any algorithms for basic math and gives totally different trip fares before and after you get onto your ride.",1,2026-03-08 17:17:31,Negative,Pricing & Bidding,0.4855048060417175,medium,394,
"Very disappointed with PickMe. This new bid +100 system is unfair to passengers. Even for normal rides, we are forced to pay extra to get a driver. If we don’t add a bid, rides don’t get accepted. This is not customer-friendly at all. I uninstalled PickMe and switched to Uber. Please rethink this system.😕🤷‍♀️",1,2026-01-13 17:06:39,Negative,Pricing & Bidding,0.4864924550056457,medium,310,
