review_text,rating,date,sentiment,suggested_category,category_confidence,confidence_band,review_length,corrected_category
This app is very useful...& Very reasonable.,5,11/23/2025 17:04,Positive,App Experience,0.453241706,medium,44,Fair Pricing
sometimes good .sometimes very bad,3,7/7/2026 14:36,Positive,Driver Service,0.455515981,medium,34,Exclude
"Nice,comfortable and enjoyable",5,6/8/2026 16:11,Positive,Driver Service,0.457193673,medium,30,Driver Service
"simply the best coz they act according to "" passenger is always correct "" slogan",5,10/22/2025 2:05,Positive,Driver Service,0.457803786,medium,80,Driver Service
"very very very good,perfect",5,5/3/2026 23:18,Positive,Driver Service,0.466714323,medium,27,Exclude
awesome gorgeous excellent wonderful well Experience Well Tallented Awesome DriverSanjayaawesome gorgeous excellent wonderful well Experience Well Tallented Awesome DriverSanjaya,5,11/13/2025 0:55,Positive,Driver Service,0.475784928,medium,178,Driver Service
please upgrade your map and locations,5,1/28/2026 22:20,Positive,Driver Service,0.498808712,medium,37,Exclude
there is an update right when I need it most and i can't use it without updating. thanks,1,6/30/2026 12:54,Positive,Good Support,0.50280571,medium,88,Exclude
super drive and beautiful,5,7/31/2026 15:50,Positive,Driver Service,0.503352642,medium,25,Driver Service
Super Sri Lankan Safe Flash App,5,6/27/2026 16:03,Positive,App Experience,0.512383997,medium,31,Trust & Security
Pick me app is very good and very gentle performer but please educate the drivers (who are using this pick me in Batticaloa) to stop start the ride before pick up the passengers and asked the drivers to take the pick me rate only. it's will help us (passengers).,2,3/17/2026 15:03,Positive,App Experience,0.514477909,medium,262,Exclude
hey pickme can u add the ride vehicle colour cuz its easy to find the right vehicel,4,12/15/2025 17:29,Positive,App Experience,0.528799951,medium,83,Exclude
"""Highly trusted, secure, and affordable. Congratulations!""",5,5/19/2026 8:06,Positive,Fair Pricing,0.536236167,medium,58,Trust & Security
it's too helpful and awesome..... safe traveling. good conversation.. nice location. nice price level 👍🏻🤗,5,5/15/2026 20:39,Positive,Driver Service,0.54670471,medium,105,Trust & Security
the e bill ricipt is very useful thanks for adding a feature like that,5,7/2/2026 9:49,Positive,Good Support,0.555801511,medium,70,App Experience
it's the easy way to go to anywhere,5,4/15/2026 11:54,Positive,App Experience,0.558836341,medium,35,App Experience
"Actually pickme is a very important service in srilanka. and also it's very safety. on the other hand we can trust their service. I have gone many trips by pickme service. That experiences are not bad. and the drives are very safety ( I have met.) However I can to say, this is good service ❤️😎",5,12/6/2025 17:39,Positive,Driver Service,0.568022668,medium,294,Trust & Security
"highly recommend 👌 very fast , and very like",5,2/18/2026 7:22,Positive,App Experience,0.57227397,medium,44,Fast Delivery
so helpful to our busy life,4,10/19/2025 10:24,Positive,App Experience,0.574069381,medium,27,App Experience
He's an exceptional person. left my cell phone in the car & he brought it back to me which I was so grateful for. gave him Rs500 for his kindness. but he refused to take it. so impressed with his qualities ❤️,5,3/31/2026 9:33,Positive,Good Support,0.576048553,medium,208,Driver Service
on time and safe travel ensured with tracking facility,5,3/28/2026 18:03,Positive,Driver Service,0.590859294,medium,54,Trust & Security
Very helpful and Timely. I use every day,5,11/9/2025 13:03,Positive,App Experience,0.595418692,medium,40,Fast Delivery
"Don't like thing is each and very time when use the app they says to update so last directing to playstore drove me to rate 3 stars, other things are really good service is highly recommend",3,9/1/2025 6:54,Positive,App Experience,0.603116333,medium,189,Exclude
very good friendly service app good service,5,1/30/2026 8:27,Positive,App Experience,0.630590022,medium,43,Driver Service
Nice app gives fair price for the passenger ❤️,5,6/15/2026 14:23,Positive,Fair Pricing,0.641700208,medium,46,Fair Pricing
"I had great experience with pick me.booking is fast,customer service is also good.vehicle drivers are so friendly.fast & superb.great app",5,10/13/2025 16:07,Positive,Driver Service,0.644245684,medium,137,Driver Service
