review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source
great app and the drivers are amazing and friendly and doing such a great and valuable job for the money we spent 💝,5,2026-08-01 14:43:12,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7233719825744629,Driver Service,high,115,zero-shot-bart-large-mnli
it is very good app fo transport,5,2026-07-31 20:18:20,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5140360593795776,App Experience,medium,32,zero-shot-bart-large-mnli
super drive and beautiful,5,2026-07-31 15:50:45,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5033526420593262,Driver Service,medium,25,zero-shot-bart-large-mnli
best useful app,5,2026-07-26 16:10:27,English,Positive,0.9991,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6968019604682922,App Experience,high,15,zero-shot-bart-large-mnli
Great app easy to use as foriegner.,5,2026-07-25 11:32:41,English,Positive,0.9987,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.48804187774658203,App Experience,medium,35,zero-shot-bart-large-mnli
bring the downloadable receipt option,4,2026-07-24 17:39:41,English,Positive,0.7723,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.2453465610742569,Fair Pricing,low,37,zero-shot-bart-large-mnli
"I would like to report a bug, I'm using the latest version of the app. When I try to schedule a ride I can choose the date but I can't change the time. Please look into this.",1,2026-07-24 06:10:23,English,Positive,0.5571,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.43566495180130005,Driver Service,low,174,zero-shot-bart-large-mnli
it comfortable to me,1,2026-07-23 22:05:33,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.479750394821167,App Experience,medium,20,zero-shot-bart-large-mnli
Overall good service but certain times difficult to find vehicles specially from Kelaniya area .Kindly improve the later option further.,4,2026-07-23 15:00:28,English,Positive,0.9931,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.6595733761787415,Driver Service,high,136,zero-shot-bart-large-mnli
"HelaGo and Uber are better than PickMe. Their rates are fair, and they don't have hidden fees like PickMe. I'm disappointed with PickMe's service and wouldn't recommend it.",1,2026-07-19 16:52:50,English,Positive,0.979,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.7045954465866089,Fair Pricing,high,172,zero-shot-bart-large-mnli
Good service reasonable charges and quick service,5,2026-07-19 05:31:19,English,Positive,0.9995,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.3436722457408905,Fair Pricing,low,49,zero-shot-bart-large-mnli
Trusted service,2,2026-07-16 08:19:18,English,Positive,0.9966,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4391864836215973,Driver Service,low,15,zero-shot-bart-large-mnli
one of good service in sri lanka,5,2026-07-15 09:56:07,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.41221165657043457,Driver Service,low,32,zero-shot-bart-large-mnli
usefull app💫 most recommended,5,2026-07-10 20:32:11,English,Positive,0.9975,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5170669555664062,App Experience,medium,29,zero-shot-bart-large-mnli
sometimes good .sometimes very bad,3,2026-07-07 14:36:34,English,Positive,0.9854,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.45551598072052,Driver Service,medium,34,zero-shot-bart-large-mnli
HAPPY RECOMMENDED ....👌👌,5,2026-07-05 20:55:47,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3840358555316925,Driver Service,low,24,zero-shot-bart-large-mnli
very important app,5,2026-07-02 21:42:05,English,Positive,0.9995,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.38983869552612305,Driver Service,low,18,zero-shot-bart-large-mnli
I love this app,5,2026-07-02 20:19:05,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6515266299247742,App Experience,high,15,zero-shot-bart-large-mnli
PAYEMENT HIGH RATED,1,2026-07-02 17:51:35,English,Positive,0.9977,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.31516656279563904,App Experience,low,19,zero-shot-bart-large-mnli
the e bill ricipt is very useful thanks for adding a feature like that,5,2026-07-02 09:49:39,English,Positive,0.9988,POSITIVE,"helpful customer support, quick refund, good service",0.555801510810852,Good Support,medium,70,zero-shot-bart-large-mnli
there is an update right when I need it most and i can't use it without updating. thanks,1,2026-06-30 12:54:43,English,Positive,0.9976,POSITIVE,"helpful customer support, quick refund, good service",0.5028057098388672,Good Support,medium,88,zero-shot-bart-large-mnli
eizy traveling 24 hours service,1,2026-06-29 17:39:49,English,Positive,0.9754,POSITIVE,"helpful customer support, quick refund, good service",0.3430282175540924,Good Support,low,31,zero-shot-bart-large-mnli
food Safe travels,5,2026-06-28 13:21:28,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5661792755126953,Driver Service,medium,17,zero-shot-bart-large-mnli
this gut helped,5,2026-06-28 10:31:08,English,Positive,0.984,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3139459490776062,App Experience,low,15,zero-shot-bart-large-mnli
fast delivery and quality rides.💯👌,5,2026-06-27 20:56:59,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.361250102519989,Driver Service,low,34,zero-shot-bart-large-mnli
Friendly & excellent service,5,2026-06-27 17:05:52,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4135163724422455,Driver Service,low,28,zero-shot-bart-large-mnli
Super Sri Lankan Safe Flash App,5,2026-06-27 16:03:43,English,Positive,0.9662,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5123839974403381,App Experience,medium,31,zero-shot-bart-large-mnli
i like pick me ❤️,5,2026-06-27 08:22:57,English,Positive,0.999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.35951465368270874,Driver Service,low,17,zero-shot-bart-large-mnli
average satisfaction,3,2026-06-26 16:29:54,English,Positive,0.9191,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.42592474818229675,App Experience,low,20,zero-shot-bart-large-mnli
thank you so much,5,2026-06-23 21:50:57,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.2549259662628174,Driver Service,low,17,zero-shot-bart-large-mnli
brilliant service 🔝,5,2026-06-21 20:34:15,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.24994239211082458,App Experience,low,19,zero-shot-bart-large-mnli
"Great app for taxi and food, huge saving and convenient",5,2026-06-21 16:49:11,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5337592959403992,App Experience,medium,55,zero-shot-bart-large-mnli
excellent service,5,2026-06-20 16:55:09,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.45124077796936035,Driver Service,medium,17,zero-shot-bart-large-mnli
A best service. Thank you very much for it.,5,2026-06-19 10:09:13,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3542620837688446,Driver Service,low,43,zero-shot-bart-large-mnli
Nice app gives fair price for the passenger ❤️,5,2026-06-15 14:23:42,English,Positive,0.9975,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.6417002081871033,Fair Pricing,medium,46,zero-shot-bart-large-mnli
"Nice,comfortable and enjoyable",5,2026-06-08 16:11:42,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.45719367265701294,Driver Service,medium,30,zero-shot-bart-large-mnli
Day by day I can increase my income through pick me .,5,2026-06-07 16:36:18,English,Positive,0.9968,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.25418776273727417,Fair Pricing,low,53,zero-shot-bart-large-mnli
If you can't fix your drivers' attitude there's no future for this service. already uninstalled and happily stopped using. I will make sure to share my experiences with people around me.,1,2026-06-07 00:10:47,English,Positive,0.9994,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.2577335238456726,Driver Service,low,186,zero-shot-bart-large-mnli
vari good is oik me,5,2026-06-03 18:27:25,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.38213416934013367,Driver Service,low,19,zero-shot-bart-large-mnli
"App is good, very useful. Only issue is the riders are crying for cash payments. But the main use of these type of apps are hassel free access with new technology. As per the riders you guys have different commission methods for cash and card payments. With evolution of technology you should be more focus on encouraging paperless method. Means you should give some benefit to riders when using card payments. Because payment directly crediting to your account. Hope you will look in to this sooner",4,2026-06-02 12:41:09,English,Positive,0.9897,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.9149242043495178,App Experience,high,499,zero-shot-bart-large-mnli
Easy riding partner,5,2026-06-02 09:29:39,English,Positive,0.9991,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.43519002199172974,Driver Service,low,19,zero-shot-bart-large-mnli
good morning day,4,2026-05-29 12:20:26,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.365629106760025,Driver Service,low,16,zero-shot-bart-large-mnli
one of the best app,1,2026-05-28 14:18:32,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6410198211669922,App Experience,medium,19,zero-shot-bart-large-mnli
"PickMe drivers rarely accept rides. Even when they do, they often cancel halfway through. This happens to me every single time. In my experience, Uber drivers are much more reliable than PickMe drivers.",1,2026-05-27 18:11:54,English,Positive,0.9792,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.28990232944488525,Driver Service,low,202,zero-shot-bart-large-mnli
"well, to catch a ride sure not bad. I recommend the verification method tho. the food delivery though, takes ages for them to get a delivery person so no food deliveries.",3,2026-05-26 18:38:28,English,Positive,0.8044,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.34211093187332153,Driver Service,low,170,zero-shot-bart-large-mnli
very good and reliable service,5,2026-05-22 21:02:07,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4862290918827057,Driver Service,medium,30,zero-shot-bart-large-mnli
pick me is veryfast⏩,5,2026-05-21 14:29:45,English,Positive,0.9487,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.41707444190979004,App Experience,low,20,zero-shot-bart-large-mnli
friendly & easy to use and very useful app,4,2026-05-20 10:53:27,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.522996723651886,App Experience,medium,42,zero-shot-bart-large-mnli
"""Highly trusted, secure, and affordable. Congratulations!""",5,2026-05-19 08:06:28,English,Positive,0.9999,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.5362361669540405,Fair Pricing,medium,58,zero-shot-bart-large-mnli
wow i like to travel with pick me,5,2026-05-19 02:39:35,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3167228698730469,Driver Service,low,33,zero-shot-bart-large-mnli
now the services is quite good,5,2026-05-16 10:37:10,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3127906322479248,App Experience,low,30,zero-shot-bart-large-mnli
it's too helpful and awesome..... safe traveling. good conversation.. nice location. nice price level 👍🏻🤗,5,2026-05-15 20:39:22,English,Positive,0.9982,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5467047095298767,Driver Service,medium,105,zero-shot-bart-large-mnli
thank you for a comfortable travel,5,2026-05-10 14:50:02,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.673474907875061,Driver Service,high,34,zero-shot-bart-large-mnli
this one very good 👍,5,2026-05-06 20:42:45,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.42889612913131714,App Experience,low,20,zero-shot-bart-large-mnli
This app best 💯👍,5,2026-05-04 22:07:48,English,Positive,0.9929,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4606221318244934,App Experience,medium,16,zero-shot-bart-large-mnli
"very very very good,perfect",5,2026-05-03 23:18:41,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4667143225669861,Driver Service,medium,27,zero-shot-bart-large-mnli
this app is very nice app. this app is very use full,5,2026-05-01 10:18:49,English,Positive,0.9994,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8472558259963989,App Experience,high,52,zero-shot-bart-large-mnli
the great app ever because of the service and the support teams response immediately to resolve the issue after discussing with both side. Sri Lanka best ride and transportation,5,2026-04-30 17:05:55,English,Positive,0.9994,POSITIVE,"helpful customer support, quick refund, good service",0.4489767551422119,Good Support,low,177,zero-shot-bart-large-mnli
Courteous and well mannered .,5,2026-04-29 17:12:30,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.7156457901000977,Driver Service,high,29,zero-shot-bart-large-mnli
highly recommended,5,2026-04-28 12:45:29,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4111136794090271,App Experience,low,18,zero-shot-bart-large-mnli
"Working as a PickMe driver is a valuable experience. I meet different passengers daily and improve my communication skills. Income depends on trips, so some days are good and some are slow. Traffic and fuel costs are challenges, but flexible working hours are a big advantage.",5,2026-04-26 20:26:35,English,Positive,0.999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.46924951672554016,Driver Service,medium,276,zero-shot-bart-large-mnli
"on time, Safe driving ability, Friendly",5,2026-04-26 17:43:06,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8313314914703369,Driver Service,high,39,zero-shot-bart-large-mnli
Very useful app for me and easy use. i love it,5,2026-04-26 12:30:43,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.79017174243927,App Experience,high,46,zero-shot-bart-large-mnli
Very polite and professional driver.Clean and comfortable car,5,2026-04-25 07:00:43,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9083247184753418,Driver Service,high,61,zero-shot-bart-large-mnli
GOOD SERVICES AND REASONABLE CHARGES IN SRILANKA.,5,2026-04-22 23:36:44,English,Positive,0.9997,POSITIVE,"fair pricing, cheap fares, transparent pricing, discounts, good value",0.5271244645118713,Fair Pricing,medium,49,zero-shot-bart-large-mnli
easy to order foods and ride. and their timing is absolutely good 👍,5,2026-04-22 18:08:09,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6986375451087952,App Experience,high,67,zero-shot-bart-large-mnli
Good service and excellent customer service 👍 thanks,5,2026-04-21 00:43:43,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3719552457332611,Driver Service,low,52,zero-shot-bart-large-mnli
great experience,5,2026-04-17 11:19:04,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.44159814715385437,App Experience,low,16,zero-shot-bart-large-mnli
tnx u so much fantastic this apps country platform marketing this apps congratulations,5,2026-04-17 02:48:02,English,Positive,0.9996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3570012152194977,App Experience,low,86,zero-shot-bart-large-mnli
it's the easy way to go to anywhere,5,2026-04-15 11:54:41,English,Positive,0.9986,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5588363409042358,App Experience,medium,35,zero-shot-bart-large-mnli
"hi pickme hanks for the wonderful ride experience. its my birthday 11apr and what a good day to get injured in an accident by your professional drivers, and thanks for picking me up from the road while i was laying like a dead body, thanks god that i was wearing a helmet. i am traveling in sri lanka,and i had a flight to London on 12, and i can't walk so i missed it, but thanks to your excellent service.i have broken leg and 2 phones. i haven't get no help. i need answers? why i pay for 📲&🏥",1,2026-04-12 23:08:41,English,Positive,0.9978,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8855816125869751,Driver Service,high,495,zero-shot-bart-large-mnli
Good service 👍 pick me we ❤ this service,5,2026-04-10 12:05:10,English,Positive,0.9987,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.586376428604126,Driver Service,medium,40,zero-shot-bart-large-mnli
i have used pick me sevaral times and it was convenient,5,2026-04-09 10:33:58,English,Positive,0.9479,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.7024111747741699,App Experience,high,55,zero-shot-bart-large-mnli
"Very useful, economicaland easy to find, thatwhy I like tjis service",5,2026-04-08 17:54:03,English,Positive,0.9987,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.43083110451698303,App Experience,low,68,zero-shot-bart-large-mnli
Verry usefully app,5,2026-04-08 16:11:32,English,Positive,0.996,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5844120383262634,App Experience,medium,18,zero-shot-bart-large-mnli
service is good,5,2026-04-08 10:15:03,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.49657198786735535,Driver Service,medium,15,zero-shot-bart-large-mnli
Great 👍 I love this App,5,2026-04-08 02:11:20,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.60533607006073,App Experience,medium,23,zero-shot-bart-large-mnli
all are good but prices are higher than normal,3,2026-04-07 19:04:58,English,Positive,0.9986,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.45493775606155396,Driver Service,medium,46,zero-shot-bart-large-mnli
This app is so comfortable and cost effective for me as person💯👍😊❤️,5,2026-04-05 14:14:29,English,Positive,0.9985,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6696284413337708,App Experience,high,67,zero-shot-bart-large-mnli
i appreciate this app,4,2026-04-05 12:42:43,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6219242215156555,App Experience,medium,21,zero-shot-bart-large-mnli
good experience.alwys helpful,2,2026-04-05 10:31:34,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.45303675532341003,Driver Service,medium,29,zero-shot-bart-large-mnli
wery good service. l ❤️ PickMe,4,2026-04-05 07:11:10,English,Positive,0.9987,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.40659084916114807,Driver Service,low,30,zero-shot-bart-large-mnli
good 👍 &fast app ⏩,5,2026-04-04 11:41:21,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5205020308494568,App Experience,medium,18,zero-shot-bart-large-mnli
very good service,5,2026-04-03 23:16:24,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4159761965274811,Driver Service,low,17,zero-shot-bart-large-mnli
Everything perfect 👌 recommend for everyone 👍🏻,5,2026-04-02 15:56:57,English,Positive,0.9997,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.4247528314590454,App Experience,low,46,zero-shot-bart-large-mnli
srilankan favorite travel partner,5,2026-04-01 03:25:26,English,Positive,0.9979,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.31991225481033325,Driver Service,low,33,zero-shot-bart-large-mnli
Reliable Service,5,2026-03-31 11:36:10,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.3457508385181427,Driver Service,low,16,zero-shot-bart-large-mnli
He's an exceptional person. left my cell phone in the car & he brought it back to me which I was so grateful for. gave him Rs500 for his kindness. but he refused to take it. so impressed with his qualities ❤️,5,2026-03-31 09:33:36,English,Positive,0.9978,POSITIVE,"helpful customer support, quick refund, good service",0.5760485529899597,Good Support,medium,208,zero-shot-bart-large-mnli
wonderful app.. easy to find a vehicle thanks a lot,5,2026-03-30 14:33:25,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8733713030815125,App Experience,high,51,zero-shot-bart-large-mnli
wonderful app. made my life so much easier. I am a platinum customer.,5,2026-03-30 11:54:41,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8139600157737732,App Experience,high,69,zero-shot-bart-large-mnli
It's good and fair,5,2026-03-30 08:37:20,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.521040678024292,Driver Service,medium,18,zero-shot-bart-large-mnli
Driving is good.,5,2026-03-30 06:46:18,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5987492203712463,Driver Service,medium,16,zero-shot-bart-large-mnli
this is good app,5,2026-03-29 14:49:23,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5678552389144897,App Experience,medium,16,zero-shot-bart-large-mnli
nice ride .good driving..good driver.. salini... nice driver..salini bike rider..,5,2026-03-28 18:52:22,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.9725454449653625,Driver Service,high,81,zero-shot-bart-large-mnli
The App is Very Excellent,5,2026-03-28 18:32:52,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5729292035102844,App Experience,medium,25,zero-shot-bart-large-mnli
on time and safe travel ensured with tracking facility,5,2026-03-28 18:03:59,English,Positive,0.9958,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5908592939376831,Driver Service,medium,54,zero-shot-bart-large-mnli
excellent service at a time like this,5,2026-03-28 13:25:27,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4444736838340759,Driver Service,low,37,zero-shot-bart-large-mnli
They sold me a ticket to a cancelled event and made little to no effort on refunding. Id never buy event tickets off this awful platform again. and id recommend y'all do the same.,1,2026-03-28 11:31:46,English,Positive,0.9181,POSITIVE,"helpful customer support, quick refund, good service",0.5595386028289795,Good Support,medium,179,zero-shot-bart-large-mnli
"Good.,But Few Problems (account resetting )",4,2026-03-26 14:01:02,English,Positive,0.8518,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.38073965907096863,App Experience,low,43,zero-shot-bart-large-mnli
Care full cheating app helago is better than pickme,1,2026-03-26 03:52:07,English,Positive,0.9719,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.25118488073349,Driver Service,low,51,zero-shot-bart-large-mnli
good app for all visitors,5,2026-03-25 21:57:42,English,Positive,0.9998,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5561837553977966,App Experience,medium,25,zero-shot-bart-large-mnli
good and hospitality i recommend him for any passengers .respected person,5,2026-03-24 19:08:54,English,Positive,0.9998,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8448742032051086,Driver Service,high,73,zero-shot-bart-large-mnli
I very love this app.,5,2026-03-24 15:54:19,English,Positive,0.9999,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.6572103500366211,App Experience,high,21,zero-shot-bart-large-mnli
very convenient and reliable 👏,5,2026-03-24 15:12:02,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3891182839870453,App Experience,low,30,zero-shot-bart-large-mnli
very easy 👌 and very convenient 👌,5,2026-03-21 18:20:28,English,Positive,0.9918,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5705532431602478,App Experience,medium,33,zero-shot-bart-large-mnli
easy to transport,5,2026-03-19 11:21:58,English,Positive,0.9995,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.3283849358558655,App Experience,low,17,zero-shot-bart-large-mnli
"Very courteous. Puntual. Suggestion : Under the stars if you can give good, bad etc; it will be easier for the customer to rate the driver.",1,2026-03-19 10:20:38,English,Positive,0.6133,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.8334054946899414,Driver Service,high,139,zero-shot-bart-large-mnli
what an app amazing by using this app I travel allover Sri Lanka very easy 😍,5,2026-03-18 20:49:26,English,Positive,0.9993,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.8801214694976807,App Experience,high,76,zero-shot-bart-large-mnli
good. easy to travel,5,2026-03-17 16:13:45,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4301585853099823,Driver Service,low,20,zero-shot-bart-large-mnli
Pick me app is very good and very gentle performer but please educate the drivers (who are using this pick me in Batticaloa) to stop start the ride before pick up the passengers and asked the drivers to take the pick me rate only. it's will help us (passengers).,2,2026-03-17 15:03:47,English,Positive,0.9987,POSITIVE,"app easy to use, fast app, user friendly, app works well",0.5144779086112976,App Experience,medium,262,zero-shot-bart-large-mnli
friendly driver,5,2026-03-17 00:25:18,English,Positive,0.9997,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.5548218488693237,Driver Service,medium,15,zero-shot-bart-large-mnli
Excellent service,5,2026-03-16 10:45:07,English,Positive,0.9999,POSITIVE,"polite driver, safe driving, professional driver, friendly driver",0.4787129759788513,Driver Service,medium,17,zero-shot-bart-large-mnli
