review_text,rating,date,language,sentiment,confidence,sentiment_clean,predicted_category,category_confidence,category,confidence_band,review_length,label_source,final_category,label_method
they virtually create a demand to vehicles and charging from customers by saying surge . if you took meeter taxi may cost 130 per km . when you travel with pick for 5 km they charge. fair + 400 surge . but when you took meter taxi it may cost 130 *5,1,2026-08-03 10:57:02,English,Negative,0.9541,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.7907019257545471,Pricing & Bidding,high,249,zero-shot-bart-large-mnli,Pricing & Bidding,auto_high_confidence
dude can't even schedule rides. Unable to set time in android 🤦‍♀️ seriously annoying,1,2026-08-02 22:32:26,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4842599332332611,Driver Behavior & Safety,medium,85,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"Deserves 0 stars. Worst delivery app I’ve ever used. Waited nearly 2 hours while my food sat cold at the restaurant for 90 mins with no driver assigned. Customer support offers zero help, just repetitive canned responses. Customer support repeatedly promised a driver was coming soon, offering no real solutions. Do not accept orders if you lack rider coverage. Extremely disappointing experience.",1,2026-08-02 21:05:01,English,Negative,0.9998,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.7679368257522583,Delivery Issues,high,397,zero-shot-bart-large-mnli,Delivery Issues,auto_high_confidence
the best riding app but too much ads that's frustrating 😕,5,2026-08-02 13:43:23,English,Negative,0.9979,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.4005816280841827,Pricing & Bidding,low,57,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
its has become a crapy app. food delivery is in a sad state. have to wait for hours to get food now. it takes half an hour to assign a drive after food is ready. if you don't have riders near by don't take orders. wasting people's time an money. booking taxi they can cancel without notice. but if we cancel we are charged. why only 1 sided. if they cancel they should be fined as well.,1,2026-08-01 21:05:02,English,Negative,0.9997,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.6238077878952026,Delivery Issues,medium,386,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"Worst app of all time When I wanted my drivers details they cause I need to know if my child arrived at the class. They said wait 24 hours to get the details , so that mean I need to 24 hours to see what has happened to my child. A another time when someone accepted my trip I waited 20 minutes but the accepted person did not arrive so I cancelled it beacase of the driver did not come, For that they charged me money.",1,2026-08-01 14:57:11,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5890138745307922,Driver Behavior & Safety,medium,419,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
Huawei mobile is not support pick me pls chek,5,2026-07-31 20:35:05,English,Negative,0.9997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4674200117588043,Support & Refunds,medium,45,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
pick me flash receiver location is incorrect and not updating. very poor location tracking,1,2026-07-31 17:34:25,English,Negative,0.9998,NEGATIVE,"privacy, security, data, account safety",0.3785449862480163,Privacy & Security,low,90,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"never add your ATM card to this app, without using pick me there cut money",1,2026-07-30 00:49:46,English,Negative,0.9846,NEGATIVE,"privacy, security, data, account safety",0.7805907130241394,Privacy & Security,high,74,zero-shot-bart-large-mnli,Privacy & Security,auto_high_confidence
after the recent update the app is crashing every time. and each time needs to clear data and cashes or uninstall to use it.,1,2026-07-29 20:47:30,English,Negative,0.9995,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4720580577850342,App Bugs,medium,124,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"Worst transport service ever. Most of the drivers, including AAU-9178, overcharge customers when they realize they don’t know the route. The app showed 1075/= for me, but the driver charged 1400/=. Unreasonable!!!",1,2026-07-29 16:50:02,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.6652050614356995,Driver Behavior & Safety,high,213,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"This was one of the worst customer service experiences I've ever had. The staff were rude, unprofessional, and showed little interest in helping customers. My concerns were ignored, communication was poor, and the overall service was disappointing. I would not recommend this business unless they make significant improvements to how they treat their customers. Very disappointing experience.",1,2026-07-29 02:33:28,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5307926535606384,Support & Refunds,medium,392,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
"very bad customer service, They don't have the responsibility and accountability for what they are doing. They don't have any solutions for customer grievences.",1,2026-07-28 23:59:01,English,Negative,0.9997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4333764016628265,Support & Refunds,low,160,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
I downloaded this app but somehow this doesn't work well via still loading for a an hour. guys lemme know is this app had any issue..,1,2026-07-28 20:36:36,English,Negative,0.9988,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3989361524581909,App Bugs,low,133,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
I never received this order.when I went to pickup I was told a pick me rider collected it.very disappointed.shall not use card payment method again with you.,1,2026-07-28 00:37:59,English,Negative,0.9987,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.3005979359149933,Delivery Issues,low,157,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"Terrible service, specially when trying to reclaim overcharges and when trying to get food ordered in weekends.",1,2026-07-26 20:12:24,English,Negative,0.9994,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.8952499628067017,Support & Refunds,high,111,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
𝑒𝑎𝑠𝑦 𝑡𝑜 ℎ𝑖𝑟𝑒 𝑣𝑒ℎ𝑖𝑐𝑙𝑒 𝑤ℎ𝑒𝑛 𝑤𝑒 𝑎𝑟𝑒 𝑖𝑛 𝑎 𝑒𝑚𝑒𝑟𝑔𝑒𝑛𝑐𝑦 𝑠𝑖𝑡𝑢𝑎𝑡𝑖𝑜𝑛,5,2026-07-25 18:13:24,English,Negative,0.9446,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.277791827917099,App Bugs,low,57,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
problem. After I got in a trip.its connects with another drivers,1,2026-07-25 15:10:45,English,Negative,0.9971,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3500316143035888,Driver Behavior & Safety,low,64,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
"I have traveled to the same destination twice for the same price of 300. However, the app recently showed me the same price, but it showed 600 for the driver. This has happened nearly 3 to 4 times now. This pricing system is extremely bad.",1,2026-07-25 13:16:09,English,Negative,0.9997,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.6553329825401306,Pricing & Bidding,high,239,zero-shot-bart-large-mnli,Pricing & Bidding,auto_high_confidence
this app doesn't work on my phone and honestly i don't know what's the issue. I've updated software patch and I'm using Android 15 version with Redmi A5 mobile. couple months ago i've been using pick me app with no problem or anything but lately nowadays when I trying to log on my account app saying please wait interface only. please fix this issue dear company. thanks.,2,2026-07-24 16:51:22,English,Negative,0.993,NEGATIVE,"privacy, security, data, account safety",0.4157482087612152,Privacy & Security,low,372,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
Too many promotional notifications,2,2026-07-24 15:09:38,English,Negative,0.9996,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.4113659262657165,Pricing & Bidding,low,34,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"very bad experience and expensive, increase price after booking also, very bad 👎",1,2026-07-24 09:56:19,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2942814230918884,Driver Behavior & Safety,low,80,zero-shot-bart-large-mnli,Pricing & Bidding,keyword_rule
Dissapointing. Takes more than usual time to pickup orders.,1,2026-07-23 21:06:55,English,Negative,0.9996,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3360981345176697,Driver Behavior & Safety,low,59,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
When will the temporary fuel surcharge be removed?,4,2026-07-22 18:08:05,English,Negative,0.9989,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3544995486736297,Driver Behavior & Safety,low,50,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
very bad service for driver and custemer,1,2026-07-21 08:27:27,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4708037376403808,Driver Behavior & Safety,medium,40,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
there are no enough locations,1,2026-07-19 10:25:16,English,Negative,0.9996,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.266848623752594,Support & Refunds,low,29,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
really easy to use. it really appreciateable if you notify approximate amount including the hire amount. Most of the people confirm the hire with the price showing. sometimes they might don't have extra money. most of the time tuk's number plate different. drivers intentionally driving slowly near signal light to stop on Red 🔴 signal. You guys need to have an option to notify.,4,2026-07-19 08:19:34,English,Negative,0.9829,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.9285353422164916,Driver Behavior & Safety,high,379,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"I have been with Pick Me for a very long time, but the Pick Me app has not improved . Directions to locations are without roads. To tell you the truth , improvement is not seen at all. Pick Me is lucky that they don't have proper competition.",3,2026-07-18 19:51:49,English,Negative,0.9977,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.2224201560020446,Support & Refunds,low,242,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
driver bad attitude,1,2026-07-18 17:42:54,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.795183002948761,Driver Behavior & Safety,high,19,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
not ux friendly at all and full of bugs,1,2026-07-16 20:23:28,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.3479453325271606,Support & Refunds,low,39,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"when we cancel a ride selecting option to change the rider partner, it keeps on connecting to the same rider again and again... non sense app",1,2026-07-16 19:59:56,English,Negative,0.997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5615711212158203,Support & Refunds,medium,141,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
please add dark mode,4,2026-07-16 14:46:59,English,Negative,0.9773,NEGATIVE,"privacy, security, data, account safety",0.3263403475284576,Privacy & Security,low,20,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
App is good but better if you are not given the bid option for drivers Because of that the drivers bid unnecessarily and requesting over charges without accepting the ride. Therfore we get late.,4,2026-07-15 07:18:41,English,Negative,0.9907,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5832100510597229,Driver Behavior & Safety,medium,194,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
App eka hodai habai mehemai hadissiykt yanna plane ekakui ganwathurata yanna bottuwakui thibba nm maru salli thibbata karanna deyak na apita meke ehema una nm taru 5m denawa,4,2026-07-14 14:25:02,English,Negative,0.9924,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.3077899813652038,App Bugs,low,173,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
fix your damn map bro,1,2026-07-14 10:24:34,English,Negative,0.9948,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5110422968864441,Driver Behavior & Safety,medium,21,zero-shot-bart-large-mnli,App Bugs,keyword_rule
Bad customer service from Pick me.,1,2026-07-14 02:39:56,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.5807446241378784,Support & Refunds,medium,34,zero-shot-bart-large-mnli,Support & Refunds,keyword_rule
"Initially I was happy about this app and it helped me a lot.But very disappointed after I ordered an item which was wrongly displayed in the app and I had to cancell,but still didn't get the refund which they promised to pay within 24 hours when I contacted the customers care line.",1,2026-07-13 18:43:55,English,Negative,0.9978,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.789359986782074,Support & Refunds,high,282,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
very unstable 😕 😐 😑 it can't place my oder right,1,2026-07-12 21:48:38,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3195936679840088,Driver Behavior & Safety,low,48,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
i cant login after entering the otp ..i have tried multiple times,1,2026-07-12 13:02:08,English,Negative,0.9921,NEGATIVE,"privacy, security, data, account safety",0.2854155302047729,Privacy & Security,low,65,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"Drivers are allowed to carry more passengers than the seating cpacity allowes"" which is illeagal. Furthermore, the company must also educate its customers not to exceed the seating capacity.",1,2026-07-12 11:41:28,English,Negative,0.99,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.272152304649353,Pricing & Bidding,low,190,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
at this moment the app is not working properly,1,2026-07-12 09:40:07,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.4512216448783874,App Bugs,medium,46,zero-shot-bart-large-mnli,App Bugs,keyword_rule
pick me drive not there,1,2026-07-11 17:43:22,English,Negative,0.9992,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.8254581689834595,Driver Behavior & Safety,high,23,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"the app literally scam people. when you just select the pick up and drop off points, it calculate the fare for the longest route, at first i thought it was the quickest route but thats not the case, and the driver take a route he prefer, which is usually the shortest route. And at the end there will be like 5km difference between the estimated distance and the actual distance but the fare won't change. so make sure you add stops on the route u plan to take, then only it calculates the fair fare.",1,2026-07-07 12:26:00,English,Negative,0.9981,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.5145596861839294,Driver Behavior & Safety,medium,500,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
The new surcharge is totally unfair,1,2026-07-07 07:31:16,English,Negative,0.9995,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.3948918879032135,Pricing & Bidding,low,35,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"Absolutely disappointing. I urgently needed to use the PickMe app, but I couldn't even log in. This is one of the most unreliable services I've used. An app that doesn't work when customers need it most is completely unacceptable. Please fix your servers and improve the stability of your app. You're wasting your customers' time.",1,2026-07-06 21:15:53,English,Negative,0.9995,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.6180880665779114,App Bugs,medium,330,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"No riders to pickup the orders ,Too late , Fully Dissapointed",1,2026-07-05 23:29:03,English,Negative,0.9993,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3338653147220611,Driver Behavior & Safety,low,61,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
trip was abondend at Midway poor service,1,2026-07-05 06:34:01,English,Negative,0.9997,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4397759139537811,Support & Refunds,low,40,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"Worst experience with the PickMe app. I placed an order at 6:00 PM, expecting a timely delivery, but it wasn't delivered until 10:30 PM. That's a delay of more than 4 hours, which is completely unacceptable. I repeatedly explained to the PickMe driver that the order was urgent, but the delivery was still made very late. This is not fair to customers who rely on your service. Very disappointed with this experience. I hope PickMe improves its delivery service and customer support",1,2026-07-04 22:43:09,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3541855812072754,Driver Behavior & Safety,low,482,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
pickme food not work properly,1,2026-07-03 21:18:53,English,Negative,0.9998,NEGATIVE,"food delivery delays, late orders, missing items, wrong orders, cold food",0.5159074664115906,Delivery Issues,medium,29,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
i think better ower rewews 💥🍄🆔,5,2026-07-03 18:53:45,English,Negative,0.9907,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.2582252025604248,Driver Behavior & Safety,low,30,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
location not working,1,2026-07-03 08:08:46,English,Negative,0.9997,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.319728285074234,App Bugs,low,20,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"there are lesser and lesser pickme rides day by day and cant reach the needed destination in time no matter how early we wait, the drivers would come right by the location and cancel, which wastes a load of time even after confirming the ride multiple times, which management looked into this more.. 😔😔",2,2026-07-03 07:16:38,English,Negative,0.9993,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.7971431612968445,Driver Behavior & Safety,high,302,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"such a terrible app, always loading and loading.. always couldn't find the location.. please fix mn it",1,2026-07-02 18:04:06,English,Negative,0.9994,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.9224151372909546,App Bugs,high,102,zero-shot-bart-large-mnli,App Bugs,auto_high_confidence
this app is not open in my phone why?what's the issue.my phone is vivo y93 please check this issue,1,2026-07-02 15:41:31,English,Negative,0.998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.339452862739563,App Bugs,low,98,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"Always refusing the card payments, drivers attitudes are worst",1,2026-07-01 16:09:21,English,Negative,0.9998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.9036967158317566,Driver Behavior & Safety,high,62,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"If a driver is on a order or ride, don't recommend another ride or delivery, because it delays our time",2,2026-07-01 07:41:26,English,Negative,0.9978,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.4257594645023346,Driver Behavior & Safety,low,103,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
"I have noticed some drivers and specially riders record us and put the videos on social media platforms like faceboom or tiktok without our consent! Totally violation of privacy... they reveal publically our locations, whom we are with, what we ordered, where we go ect ect! you should do something about this! and other users, be aware about those so-called content creating riders who violate your privacy!",1,2026-06-30 21:07:59,English,Negative,0.9979,NEGATIVE,"privacy, security, data, account safety",0.944619357585907,Privacy & Security,high,408,zero-shot-bart-large-mnli,Privacy & Security,auto_high_confidence
"WORST CUSTOMER SERVICE EVER. IF U EVER HAVE A COMPLAIN, THEY TOOK A LONG TIME TO ANSWER BETTER UBER",1,2026-06-30 14:08:23,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.7579084038734436,Support & Refunds,high,99,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
"Absolutely unacceptable. It's been months since the Ne-Yo concert was canceled, and I'm still waiting for my refund. Customer support has been unresponsive, calls are ignored, and there has been no meaningful resolution despite repeated follow-ups. This has been one of the worst customer service experiences I've ever had.This is one of the biggest scamming companies in Sri Lanka. I strongly advise everyone to avoid using them.",1,2026-06-30 13:38:48,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.9523414373397828,Support & Refunds,high,430,zero-shot-bart-large-mnli,Support & Refunds,auto_high_confidence
Worst taxi app ever. When we order a taxi in 6.30 a.m to 7.45 a.m any taxi can not find it. 😡😡😡🤬,1,2026-06-30 07:06:12,English,Negative,0.9998,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.581562876701355,App Bugs,medium,96,zero-shot-bart-large-mnli,Delivery Issues,keyword_rule
A long time bug. Can't schedule a ride for future time. ex: now it is 10pm. I want to schedule a ride for tomorrow 6am. i can pick tomorrow but not 6am. but it is possible to pick 11pm like time (after 10pm). This is a bug.,4,2026-06-29 22:18:01,English,Negative,0.9986,NEGATIVE,"privacy, security, data, account safety",0.2752542495727539,Privacy & Security,low,223,zero-shot-bart-large-mnli,App Bugs,keyword_rule
"very disappointed app. once I am above to achieve platinum loyalty customer from gold they did such a rubbish and unexpected procedure that they suddenly dropped into silver customer. when I complained, they said that i registered recently. Literally, i have been used this app for more than 1 year.these guys are cheating",1,2026-06-29 13:39:34,English,Negative,0.9994,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4077287316322326,Support & Refunds,low,322,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"drivers behave badly, asking cash when we book for someone else",3,2026-06-28 17:28:34,English,Negative,0.9997,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.9007481932640076,Driver Behavior & Safety,high,63,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
Not good. Not bad. But service is very ugly,1,2026-06-28 10:02:36,English,Negative,0.9996,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.2949058413505554,Support & Refunds,low,43,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
Before it was good. but now sooooo bad tooo slow to get a driver high rates and don't reccomend this I reccomend Uber(the best),3,2026-06-28 09:19:36,English,Negative,0.9958,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.6370006203651428,Driver Behavior & Safety,medium,127,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
not efficient facility,1,2026-06-27 18:50:46,English,Negative,0.9998,NEGATIVE,"customer support, refunds, complaint handling, unhelpful support",0.4415759444236755,Support & Refunds,low,22,zero-shot-bart-large-mnli,Exclude / Too Generic,generic_filter
some zip cars are not maintained well. the interior is so unclean and with bad odour. please look into this.,5,2026-06-26 21:30:27,English,Negative,0.9971,NEGATIVE,"app bugs, crashes, slow app, technical issues, map, GPS, login, payment failure",0.2138825803995132,App Bugs,low,108,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
"Compared to Uber, the route selections after we chose where we wanna go, always got long routes which includes higher traffic and price. it was so embarrassed me causing so much time consumed to the get on time in the location. you better prepare this inefficient ways in the app.",1,2026-06-26 17:28:34,English,Negative,0.998,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.3881849944591522,Driver Behavior & Safety,low,280,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
careless driving. over charged,1,2026-06-26 16:18:58,English,Negative,0.9994,NEGATIVE,"driver behavior, rude driver, unsafe driving, driver no show, safety issues",0.8714680075645447,Driver Behavior & Safety,high,30,zero-shot-bart-large-mnli,Driver Behavior & Safety,auto_high_confidence
"Drivers call you and interview you, if you don't pass the interview they will cancel.",1,2026-06-26 13:27:18,English,Negative,0.9945,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.207519456744194,Pricing & Bidding,low,85,zero-shot-bart-large-mnli,Driver Behavior & Safety,keyword_rule
"how many fees are you going to get ? handling fee,surge fee,handling fee, small package fee, late night fee taxes for famous outlets ... seriously? So is this your objective when starting this business? I remember that you are going to do srilankanized one lol 😆",1,2026-06-25 18:57:43,English,Negative,0.9833,NEGATIVE,"pricing, surge pricing, bidding, driver offers, high fares, expensive, discounts",0.4263646900653839,Pricing & Bidding,low,262,zero-shot-bart-large-mnli,Manual Review Needed,manual_review_needed
